comp_name,A2BBX6,A,B1,B2,X,nA,nB1,nB2,nX,rA,rB1,rB2,rBavg,rX,tau,NotSim
CsLiPmCl,Cs2LiPmCl6,Cs,Li,Pm,Cl,1,1,3,-1,188.0,76.0,97.0,86.5,181.0,3.8921986330220255,False
CsLiPmBr,Cs2LiPmBr6,Cs,Li,Pm,Br,1,1,3,-1,188.0,76.0,97.0,86.5,196.0,4.065609037646304,False
CsLiSmF,Cs2LiSmF6,Cs,Li,Sm,F,1,1,3,-1,188.0,76.0,95.8,85.9,133.0,3.342526682850621,False
CsLiSmCl,Cs2LiSmCl6,Cs,Li,Sm,Cl,1,1,3,-1,188.0,76.0,95.8,85.9,181.0,3.901315972722565,False
CsLiSmBr,Cs2LiSmBr6,Cs,Li,Sm,Br,1,1,3,-1,188.0,76.0,95.8,85.9,196.0,4.075937625807548,False
CsLiEuF,Cs2LiEuF6,Cs,Li,Eu,F,1,1,3,-1,188.0,76.0,94.7,85.35,133.0,3.3476351622922698,False
CsLiEuCl,Cs2LiEuCl6,Cs,Li,Eu,Cl,1,1,3,-1,188.0,76.0,94.7,85.35,181.0,3.9100253204645017,False
CsLiEuBr,Cs2LiEuBr6,Cs,Li,Eu,Br,1,1,3,-1,188.0,76.0,94.7,85.35,196.0,4.085772244893324,False
CsLiGdF,Cs2LiGdF6,Cs,Li,Gd,F,1,1,3,-1,188.0,76.0,93.8,84.9,133.0,3.3520323348976024,False
CsLiGdCl,Cs2LiGdCl6,Cs,Li,Gd,Cl,1,1,3,-1,188.0,76.0,93.8,84.9,181.0,3.917403359632585,False
CsLiGdBr,Cs2LiGdBr6,Cs,Li,Gd,Br,1,1,3,-1,188.0,76.0,93.8,84.9,196.0,4.094081804862267,False
CsLiTbF,Cs2LiTbF6,Cs,Li,Tb,F,1,1,3,-1,188.0,76.0,92.3,84.15,133.0,3.359798993572792,False
CsLiTbCl,Cs2LiTbCl6,Cs,Li,Tb,Cl,1,1,3,-1,188.0,76.0,92.3,84.15,181.0,3.930208975747479,False
CsLiTbBr,Cs2LiTbBr6,Cs,Li,Tb,Br,1,1,3,-1,188.0,76.0,92.3,84.15,196.0,4.108462095177069,False
CsLiDyF,Cs2LiDyF6,Cs,Li,Dy,F,1,1,3,-1,188.0,76.0,91.2,83.6,133.0,3.3658451089866093,False
CsLiDyCl,Cs2LiDyCl6,Cs,Li,Dy,Cl,1,1,3,-1,188.0,76.0,91.2,83.6,181.0,3.9400077884124474,False
CsLiDyBr,Cs2LiDyBr6,Cs,Li,Dy,Br,1,1,3,-1,188.0,76.0,91.2,83.6,196.0,4.11943362573302,False
