Cs2CfCl6,Cs,Cf,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,82.1,181.0,3.9685144043829457,True
Cs2PoBr6,Cs,Po,Vac,Br,1,4,0,-1,188.0,121.0,110.0,94.0,196.0,3.9704964647566494,True
Cs2ThBr6,Cs,Th,Vac,Br,1,4,0,-1,188.0,121.0,110.0,94.0,196.0,3.9704964647566494,True
Cs2PaBr6,Cs,Pa,Vac,Br,1,4,0,-1,188.0,121.0,110.0,90.0,196.0,4.013505874628466,True
Cs2FeF6,Cs,Fe,Vac,F,1,4,0,-1,188.0,121.0,110.0,58.5,133.0,4.026316803290306,True
Cs2UBr6,Cs,U,Vac,Br,1,4,0,-1,188.0,121.0,110.0,89.0,196.0,4.026991442804377,True
Cs2VF6,Cs,V,Vac,F,1,4,0,-1,188.0,121.0,110.0,57.99999999999999,133.0,4.04938082764834,True
Cs2CeBr6,Cs,Ce,Vac,Br,1,4,0,-1,188.0,121.0,110.0,87.0,196.0,4.057318243442044,True
Cs2NpBr6,Cs,Np,Vac,Br,1,4,0,-1,188.0,121.0,110.0,87.0,196.0,4.057318243442044,True
Cs2PbCl6,Cs,Pb,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,77.5,181.0,4.072907620015913,True
Cs2PuBr6,Cs,Pu,Vac,Br,1,4,0,-1,188.0,121.0,110.0,86.0,196.0,4.074187296112854,True
Cs2CmBr6,Cs,Cm,Vac,Br,1,4,0,-1,188.0,121.0,110.0,85.0,196.0,4.092214679860639,True
Cs2AmBr6,Cs,Am,Vac,Br,1,4,0,-1,188.0,121.0,110.0,85.0,196.0,4.092214679860639,True
Cs2PrBr6,Cs,Pr,Vac,Br,1,4,0,-1,188.0,121.0,110.0,85.0,196.0,4.092214679860639,True
Cs2TbCl6,Cs,Tb,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,76.0,181.0,4.112793102732373,True
Cs2BkBr6,Cs,Bk,Vac,Br,1,4,0,-1,188.0,121.0,110.0,83.0,196.0,4.131818198759777,True
Cs2CfBr6,Cs,Cf,Vac,Br,1,4,0,-1,188.0,121.0,110.0,82.1,196.0,4.151218423871375,True
Cs2TeI6,Cs,Te,Vac,I,1,4,0,-1,188.0,121.0,110.0,97.0,220.00000000000003,4.196941917001208,False
Cs2CrF6,Cs,Cr,Vac,F,1,4,0,-1,188.0,121.0,110.0,55.00000000000001,133.0,4.199206476441351,False
Cs2ThI6,Cs,Th,Vac,I,1,4,0,-1,188.0,121.0,110.0,94.0,220.00000000000003,4.225815613692821,False
Cs2PoI6,Cs,Po,Vac,I,1,4,0,-1,188.0,121.0,110.0,94.0,220.00000000000003,4.225815613692821,False
Cs2ZrCl6,Cs,Zr,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,72.0,181.0,4.23443153219532,False
Cs2PbBr6,Cs,Pb,Vac,Br,1,4,0,-1,188.0,121.0,110.0,77.5,196.0,4.266456007112687,False
Cs2HfCl6,Cs,Hf,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,71.0,181.0,4.268530136498383,False
Cs2PaI6,Cs,Pa,Vac,I,1,4,0,-1,188.0,121.0,110.0,90.0,220.00000000000003,4.2801725412951335,False
Cs2UI6,Cs,U,Vac,I,1,4,0,-1,188.0,121.0,110.0,89.0,220.00000000000003,4.296654364152692,False
Cs2TbBr6,Cs,Tb,Vac,Br,1,4,0,-1,188.0,121.0,110.0,76.0,196.0,4.310161523785004,False
Cs2MnF6,Cs,Mn,Vac,F,1,4,0,-1,188.0,121.0,110.0,53.0,133.0,4.310973806095417,False
Cs2CoF6,Cs,Co,Vac,F,1,4,0,-1,188.0,121.0,110.0,53.0,133.0,4.310973806095417,False
Cs2GeF6,Cs,Ge,Vac,F,1,4,0,-1,188.0,121.0,110.0,53.0,133.0,4.310973806095417,False
Cs2CeI6,Cs,Ce,Vac,I,1,4,0,-1,188.0,121.0,110.0,87.0,220.00000000000003,4.333180312407562,False
Cs2NpI6,Cs,Np,Vac,I,1,4,0,-1,188.0,121.0,110.0,87.0,220.00000000000003,4.333180312407562,False
Cs2SnCl6,Cs,Sn,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,69.0,181.0,4.341477635995025,False
Cs2PuI6,Cs,Pu,Vac,I,1,4,0,-1,188.0,121.0,110.0,86.0,220.00000000000003,4.3532570635547145,False
Cs2PrI6,Cs,Pr,Vac,I,1,4,0,-1,188.0,121.0,110.0,85.0,220.00000000000003,4.374567621037111,False
Cs2AmI6,Cs,Am,Vac,I,1,4,0,-1,188.0,121.0,110.0,85.0,220.00000000000003,4.374567621037111,False
Cs2CmI6,Cs,Cm,Vac,I,1,4,0,-1,188.0,121.0,110.0,85.0,220.00000000000003,4.374567621037111,False
Cs2NbCl6,Cs,Nb,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,68.0,181.0,4.380431976204589,False
Cs2TaCl6,Cs,Ta,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,68.0,181.0,4.380431976204589,False
Cs2BkI6,Cs,Bk,Vac,I,1,4,0,-1,188.0,121.0,110.0,83.0,220.00000000000003,4.420974825265802,False
Cs2ZrBr6,Cs,Zr,Vac,Br,1,4,0,-1,188.0,121.0,110.0,72.0,196.0,4.442764865528654,False
Cs2CfI6,Cs,Cf,Vac,I,1,4,0,-1,188.0,121.0,110.0,82.1,220.00000000000003,4.443544855052861,False
Cs2WCl6,Cs,W,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,66.0,181.0,4.463593159922418,False
Cs2HfBr6,Cs,Hf,Vac,Br,1,4,0,-1,188.0,121.0,110.0,71.0,196.0,4.479797742132185,False
Cs2SeF6,Cs,Se,Vac,F,1,4,0,-1,188.0,121.0,110.0,50.0,133.0,4.498980806629521,False
Cs2MoCl6,Cs,Mo,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,65.0,181.0,4.507928705059025,False
Cs2TcCl6,Cs,Tc,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,64.5,181.0,4.5308155523879226,False
Cs2SnBr6,Cs,Sn,Vac,Br,1,4,0,-1,188.0,121.0,110.0,69.0,196.0,4.558868940342851,False
Cs2PbI6,Cs,Pb,Vac,I,1,4,0,-1,188.0,121.0,110.0,77.5,220.00000000000003,4.576133426467527,False
Cs2TaBr6,Cs,Ta,Vac,Br,1,4,0,-1,188.0,121.0,110.0,68.0,196.0,4.601020211498707,False
Cs2NbBr6,Cs,Nb,Vac,Br,1,4,0,-1,188.0,121.0,110.0,68.0,196.0,4.601020211498707,False
Cs2OsCl6,Cs,Os,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,63.0,181.0,4.602465459253084,False
Cs2ReCl6,Cs,Re,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,63.0,181.0,4.602465459253084,False
Cs2TbI6,Cs,Tb,Vac,I,1,4,0,-1,188.0,121.0,110.0,76.0,220.00000000000003,4.625950997469215,False
Cs2PtCl6,Cs,Pt,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,62.5,181.0,4.627378530177355,False
Cs2IrCl6,Cs,Ir,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,62.5,181.0,4.627378530177355,False
Cs2NiF6,Cs,Ni,Vac,F,1,4,0,-1,188.0,121.0,110.0,48.0,133.0,4.639679789449799,False
Cs2RuCl6,Cs,Ru,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,62.0,181.0,4.6528240092450055,False
Cs2PdCl6,Cs,Pd,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,61.5,181.0,4.678812959096945,False
Cs2WBr6,Cs,W,Vac,Br,1,4,0,-1,188.0,121.0,110.0,66.0,196.0,4.690865887195146,False
Cs2TiCl6,Cs,Ti,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,60.5,181.0,4.7324674648686855,False
Cs2MoBr6,Cs,Mo,Vac,Br,1,4,0,-1,188.0,121.0,110.0,65.0,196.0,4.738697935828256,False
Cs2RhCl6,Cs,Rh,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,60.0,181.0,4.760157135750745,False
Cs2TcBr6,Cs,Tc,Vac,Br,1,4,0,-1,188.0,121.0,110.0,64.5,196.0,4.763373691922806,False
Cs2ZrI6,Cs,Zr,Vac,I,1,4,0,-1,188.0,121.0,110.0,72.0,220.00000000000003,4.776098198861987,False
Cs2HfI6,Cs,Hf,Vac,I,1,4,0,-1,188.0,121.0,110.0,71.0,220.00000000000003,4.81782591114627,False
Cs2ReBr6,Cs,Re,Vac,Br,1,4,0,-1,188.0,121.0,110.0,63.0,196.0,4.840560697348322,False
Cs2OsBr6,Cs,Os,Vac,Br,1,4,0,-1,188.0,121.0,110.0,63.0,196.0,4.840560697348322,False
Cs2FeCl6,Cs,Fe,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,58.5,181.0,4.846829623803126,False
Cs2IrBr6,Cs,Ir,Vac,Br,1,4,0,-1,188.0,121.0,110.0,62.5,196.0,4.867378530177355,False
Cs2PtBr6,Cs,Pt,Vac,Br,1,4,0,-1,188.0,121.0,110.0,62.5,196.0,4.867378530177355,False
Cs2VCl6,Cs,V,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,57.99999999999999,181.0,4.876967034544892,False
Cs2RuBr6,Cs,Ru,Vac,Br,1,4,0,-1,188.0,121.0,110.0,62.0,196.0,4.8947594931159735,False
Cs2SnI6,Cs,Sn,Vac,I,1,4,0,-1,188.0,121.0,110.0,69.0,220.00000000000003,4.906695027299373,False
Cs2PdBr6,Cs,Pd,Vac,Br,1,4,0,-1,188.0,121.0,110.0,61.5,196.0,4.922715398121335,False
Cs2NbI6,Cs,Nb,Vac,I,1,4,0,-1,188.0,121.0,110.0,68.0,220.00000000000003,4.953961387969295,False
Cs2TaI6,Cs,Ta,Vac,I,1,4,0,-1,188.0,121.0,110.0,68.0,220.00000000000003,4.953961387969295,False
Cs2TiBr6,Cs,Ti,Vac,Br,1,4,0,-1,188.0,121.0,110.0,60.5,196.0,4.980401349166206,False
Cs2RhBr6,Cs,Rh,Vac,Br,1,4,0,-1,188.0,121.0,110.0,60.0,196.0,5.010157135750745,False
Cs2WI6,Cs,W,Vac,I,1,4,0,-1,188.0,121.0,110.0,66.0,220.00000000000003,5.05450225083151,False
Cs2CrCl6,Cs,Cr,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,55.00000000000001,181.0,5.071933749168623,False
Cs2FeBr6,Cs,Fe,Vac,Br,1,4,0,-1,188.0,121.0,110.0,58.5,196.0,5.103239880213383,False
Cs2MoI6,Cs,Mo,Vac,I,1,4,0,-1,188.0,121.0,110.0,65.0,220.00000000000003,5.107928705059026,False
Cs2TcI6,Cs,Tc,Vac,I,1,4,0,-1,188.0,121.0,110.0,64.5,220.00000000000003,5.13546671517862,False
Cs2VBr6,Cs,V,Vac,Br,1,4,0,-1,188.0,121.0,110.0,57.99999999999999,196.0,5.1355877242000645,False
Cs2CoCl6,Cs,Co,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,53.0,181.0,5.216634183453907,False
Cs2MnCl6,Cs,Mn,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,53.0,181.0,5.216634183453907,False
Cs2GeCl6,Cs,Ge,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,53.0,181.0,5.216634183453907,False
Cs2OsI6,Cs,Os,Vac,I,1,4,0,-1,188.0,121.0,110.0,63.0,220.00000000000003,5.221513078300704,False
Cs2ReI6,Cs,Re,Vac,I,1,4,0,-1,188.0,121.0,110.0,63.0,220.00000000000003,5.221513078300704,False
Cs2IrI6,Cs,Ir,Vac,I,1,4,0,-1,188.0,121.0,110.0,62.5,220.00000000000003,5.251378530177355,False
Cs2PtI6,Cs,Pt,Vac,I,1,4,0,-1,188.0,121.0,110.0,62.5,220.00000000000003,5.251378530177355,False
Cs2RuI6,Cs,Ru,Vac,I,1,4,0,-1,188.0,121.0,110.0,62.0,220.00000000000003,5.281856267309522,False
Cs2PdI6,Cs,Pd,Vac,I,1,4,0,-1,188.0,121.0,110.0,61.5,220.00000000000003,5.31295930056036,False
Cs2CrBr6,Cs,Cr,Vac,Br,1,4,0,-1,188.0,121.0,110.0,55.00000000000001,196.0,5.344661021895895,False
Cs2SiF6,Cs,Si,Vac,F,1,4,0,-1,188.0,121.0,110.0,40.0,133.0,5.362034028369886,False
Cs2TiI6,Cs,Ti,Vac,I,1,4,0,-1,188.0,121.0,110.0,60.5,220.00000000000003,5.377095564042239,False
Cs2RhI6,Cs,Rh,Vac,I,1,4,0,-1,188.0,121.0,110.0,60.0,220.00000000000003,5.410157135750746,False
Cs2SeCl6,Cs,Se,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,50.0,181.0,5.458980806629521,False
Cs2CoBr6,Cs,Co,Vac,Br,1,4,0,-1,188.0,121.0,110.0,53.0,196.0,5.499653051378436,False
Cs2GeBr6,Cs,Ge,Vac,Br,1,4,0,-1,188.0,121.0,110.0,53.0,196.0,5.499653051378436,False
Cs2MnBr6,Cs,Mn,Vac,Br,1,4,0,-1,188.0,121.0,110.0,53.0,196.0,5.499653051378436,False
Cs2FeI6,Cs,Fe,Vac,I,1,4,0,-1,188.0,121.0,110.0,58.5,220.00000000000003,5.513496290469794,False
Cs2VI6,Cs,V,Vac,I,1,4,0,-1,188.0,121.0,110.0,57.99999999999999,220.00000000000003,5.549380827648341,False
Cs2NiCl6,Cs,Ni,Vac,Cl,1,4,0,-1,188.0,121.0,110.0,48.0,181.0,5.639679789449799,False
Cs2SF6,Cs,S,Vac,F,1,4,0,-1,188.0,121.0,110.0,37.0,133.0,5.720405671029017,False
