A2BBX6,A,B1,B2,X,nA,nB1,nB2,nX,rA,rB1,rB2,rBavg,rX,tau
Li2BeSrI6,Li,Be,Sr,I,1,2,2,-1,92.0,45.0,118.0,81.5,220.00000000000003,11.014311363878223
Li2BePdF6,Li,Be,Pd,F,1,2,2,-1,92.0,45.0,86.0,65.5,133.0,5.164833006873957
Li2BePdCl6,Li,Be,Pd,Cl,1,2,2,-1,92.0,45.0,86.0,65.5,181.0,5.8976574343548736
Li2BePdBr6,Li,Be,Pd,Br,1,2,2,-1,92.0,45.0,86.0,65.5,196.0,6.12666506794266
Li2BePdI6,Li,Be,Pd,I,1,2,2,-1,92.0,45.0,86.0,65.5,220.00000000000003,6.493077281683118
Li2BeAgF6,Li,Be,Ag,F,1,2,2,-1,92.0,45.0,94.0,69.5,133.0,5.633530706013017
Li2BeAgCl6,Li,Be,Ag,Cl,1,2,2,-1,92.0,45.0,94.0,69.5,181.0,6.324178188027406
Li2BeAgBr6,Li,Be,Ag,Br,1,2,2,-1,92.0,45.0,94.0,69.5,196.0,6.540005526156902
Li2BeAgI6,Li,Be,Ag,I,1,2,2,-1,92.0,45.0,94.0,69.5,220.00000000000003,6.8853292671640975
Li2BeCdF6,Li,Be,Cd,F,1,2,2,-1,92.0,45.0,95.0,70.0,133.0,5.709066105791592
Li2BeCdCl6,Li,Be,Cd,Cl,1,2,2,-1,92.0,45.0,95.0,70.0,181.0,6.394780391505877
Li2BeCdBr6,Li,Be,Cd,Br,1,2,2,-1,92.0,45.0,95.0,70.0,196.0,6.609066105791592
Li2BeCdI6,Li,Be,Cd,I,1,2,2,-1,92.0,45.0,95.0,70.0,220.00000000000003,6.951923248648735
Li2BeBaF6,Li,Be,Ba,F,1,2,2,-1,92.0,45.0,135.0,90.0,133.0,46.98701662672396
Li2BeBaCl6,Li,Be,Ba,Cl,1,2,2,-1,92.0,45.0,135.0,90.0,181.0,47.520349960057295
Li2BeBaBr6,Li,Be,Ba,Br,1,2,2,-1,92.0,45.0,135.0,90.0,196.0,47.68701662672396
Li2BeBaI6,Li,Be,Ba,I,1,2,2,-1,92.0,45.0,135.0,90.0,220.00000000000003,47.953683293390625
Li2BeNdF6,Li,Be,Nd,F,1,2,2,-1,92.0,45.0,129.0,87.0,133.0,19.452547189046832
Li2BeNdCl6,Li,Be,Nd,Cl,1,2,2,-1,92.0,45.0,129.0,87.0,181.0,20.004271326977864
Li2BeNdBr6,Li,Be,Nd,Br,1,2,2,-1,92.0,45.0,129.0,87.0,196.0,20.176685120081313
Li2BeNdI6,Li,Be,Nd,I,1,2,2,-1,92.0,45.0,129.0,87.0,220.00000000000003,20.452547189046832
Li2BeSmF6,Li,Be,Sm,F,1,2,2,-1,92.0,45.0,122.0,83.5,133.0,11.95834252319241
Li2BeSmCl6,Li,Be,Sm,Cl,1,2,2,-1,92.0,45.0,122.0,83.5,181.0,12.533192822593607
Li2BeSmBr6,Li,Be,Sm,Br,1,2,2,-1,92.0,45.0,122.0,83.5,196.0,12.712833541156481
Li2BeSmI6,Li,Be,Sm,I,1,2,2,-1,92.0,45.0,122.0,83.5,220.00000000000003,13.00025869085708
Li2BeEuF6,Li,Be,Eu,F,1,2,2,-1,92.0,45.0,117.0,81.0,133.0,9.561463460368547
Li2BeEuCl6,Li,Be,Eu,Cl,1,2,2,-1,92.0,45.0,117.0,81.0,181.0,10.15405605296114
Li2BeEuBr6,Li,Be,Eu,Br,1,2,2,-1,92.0,45.0,117.0,81.0,196.0,10.339241238146325
Li2BeEuI6,Li,Be,Eu,I,1,2,2,-1,92.0,45.0,117.0,81.0,220.00000000000003,10.635537534442623
Li2BeDyF6,Li,Be,Dy,F,1,2,2,-1,92.0,45.0,107.0,76.0,133.0,7.086001756879077
Li2BeDyCl6,Li,Be,Dy,Cl,1,2,2,-1,92.0,45.0,107.0,76.0,181.0,7.717580704247498
Li2BeDyBr6,Li,Be,Dy,Br,1,2,2,-1,92.0,45.0,107.0,76.0,196.0,7.914949125300129
Li2BeDyI6,Li,Be,Dy,I,1,2,2,-1,92.0,45.0,107.0,76.0,220.00000000000003,8.230738598984342
Li2BeTmF6,Li,Be,Tm,F,1,2,2,-1,92.0,45.0,103.0,74.0,133.0,6.507490893726531
Li2BeTmCl6,Li,Be,Tm,Cl,1,2,2,-1,92.0,45.0,103.0,74.0,181.0,7.156139542375179
Li2BeTmBr6,Li,Be,Tm,Br,1,2,2,-1,92.0,45.0,103.0,74.0,196.0,7.3588422450778825
Li2BeTmI6,Li,Be,Tm,I,1,2,2,-1,92.0,45.0,103.0,74.0,220.00000000000003,7.683166569402207
Li2BeYbF6,Li,Be,Yb,F,1,2,2,-1,92.0,45.0,102.0,73.5,133.0,6.384949206159035
Li2BeYbCl6,Li,Be,Yb,Cl,1,2,2,-1,92.0,45.0,102.0,73.5,181.0,7.038010430648832
Li2BeYbBr6,Li,Be,Yb,Br,1,2,2,-1,92.0,45.0,102.0,73.5,196.0,7.242092063301893
