comp,spin,VBM,CBM,bandgap,VBMtotcontr.A,VBMorbital.A,VBMorbchar.A,VBMorborder.A,VBMorbcontr.A,CBMtotcontr.A,CBMorbital.A,CBMorbchar.A,CBMorborder.A,CBMorbcontr.A,VBMtotcontr.B1,VBMorbital.B1,VBMorbchar.B1,VBMorborder.B1,VBMorbcontr.B1,CBMtotcontr.B1,CBMorbital.B1,CBMorbchar.B1,CBMorborder.B1,CBMorbcontr.B1,VBMtotcontr.B2,VBMorbital.B2,VBMorbchar.B2,VBMorborder.B2,VBMorbcontr.B2,CBMtotcontr.B2,CBMorbital.B2,CBMorbchar.B2,CBMorborder.B2,CBMorbcontr.B2,VBMtotcontr.X,VBMorbital.X,VBMorbchar.X,VBMorborder.X,VBMorbcontr.X,CBMtotcontr.X,CBMorbital.X,CBMorbchar.X,CBMorborder.X,CBMorbcontr.X,spin_vbm,spin_cbm,spin_forbidden,cond_type
2928_CsTiDyBr,-1,-0.1279,0.57553,0.70343,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.8671926207339811,3d,d,3.0,0.8632527379520563,0.986436590668096,4f,f,4.0,0.9862481584696032,0.1052138816237439,4f,f,4.0,0.0991433757787493,0.0,,,,0.0,0.0274244637050329,4p,p,4.0,0.0258073060842671,,,,semiconductor
2928_CsTiDyBr,combined,-0.1279,0.02558,0.15348,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.9482919749653944,3d,d,3.0,0.939010289363677,0.986436590668096,4f,f,4.0,0.9862481584696032,0.0,,,,0.0,0.0,,,,0.0,0.0456119713944681,4p,p,4.0,0.0419764727299673,-1.0,1.0,True,semiconductor
2929_CsMgAmBr,1,-1.99003,0.05467,2.0447,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.3191028743080161,3s,s,3.0,0.3191028743080161,0.9745029798846404,5f,f,5.0,0.97272782185326,0.4772647254912243,7s,s,7.0,0.3633261669151191,0.0245582063812248,4p,p,4.0,0.0236002421090371,0.1997445558943165,4s,s,4.0,0.1501352130823339,,,,semiconductor
2929_CsMgAmBr,-1,-5.16097,0.33896,5.49993,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.3006425167366391,3s,s,3.0,0.3006425167366391,0.0114600831116933,5f,f,5.0,0.0051250242410802,0.4954435209349825,7s,s,7.0,0.457229377056621,0.9863087532682612,4p,p,4.0,0.9859052160695644,0.2000134744127993,4s,s,4.0,0.1577605525927607,,,,insulator
2929_CsMgAmBr,combined,-1.99003,0.05467,2.0447,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,0.0,0.3191028743080161,3s,s,3.0,0.3191028743080161,0.9745029798846404,5f,f,5.0,0.97272782185326,0.4772647254912243,7s,s,7.0,0.3633261669151191,0.0245582063812248,4p,p,4.0,0.0236002421090371,0.1997445558943165,4s,s,4.0,0.1501352130823339,1.0,1.0,False,semiconductor
2930_CsZnPbBr,1,-2.59897,0.02721,2.62618,0.0,,,,0.0,0.0,,,,0.0,0.0219601325251546,3d,d,3.0,0.0161072284799738,0.3499305000637921,4s,s,4.0,0.3494812685920722,0.1609008249915019,6s,s,6.0,0.1557521767614997,0.3885174018439307,6p,p,6.0,0.3822254752519791,0.8165869733089474,4p,p,4.0,0.8109780532873101,0.2593818198910831,4p,p,4.0,0.1397210601594133,,,,semiconductor
2930_CsZnPbBr,-1,-2.59897,0.02721,2.62618,0.0,,,,0.0,0.0,,,,0.0,0.0219599897609513,3d,d,3.0,0.0161072284799738,0.3499338575486331,4s,s,4.0,0.3494846260769131,0.1609008249915019,6s,s,6.0,0.1557521767614997,0.3885093438803123,6p,p,6.0,0.3822174172883608,0.8165869733089474,4p,p,4.0,0.8109780532873101,0.2593818198910831,4p,p,4.0,0.1397210601594133,,,,semiconductor
2930_CsZnPbBr,combined,-2.59897,0.02721,2.62618,0.0,,,,0.0,0.0,,,,0.0,0.0219601325251546,3d,d,3.0,0.0161072284799738,0.3499305000637921,4s,s,4.0,0.3494812685920722,0.1609008249915019,6s,s,6.0,0.1557521767614997,0.3885174018439307,6p,p,6.0,0.3822254752519791,0.8165869733089474,4p,p,4.0,0.8109780532873101,0.2593818198910831,4p,p,4.0,0.1397210601594133,1.0,1.0,False,semiconductor
2932_CsMnPdF,1,-1.13193,0.01301,1.14494,0.0,,,,0.0,0.0,,,,0.0,0.6567712608278827,3d,d,3.0,0.6560580404620971,0.055736169394881,3d,d,3.0,0.0497304673735464,0.1151769294472668,4d,d,4.0,0.0984426834462311,0.7624600698337446,4d,d,4.0,0.7605429093122339,0.2267134010268259,2p,p,2.0,0.2073291149976475,0.1804497549412179,2p,p,2.0,0.1647626613704071,,,,semiconductor
2932_CsMnPdF,-1,-3.643,3.34375,6.98675,0.0,,,,0.0,0.040973867961091,5s,s,5.0,0.0302999498071705,0.016596376391575,3d,d,3.0,0.0132528231579947,0.1304791191476114,4s,s,4.0,0.1161868698099661,0.6175077104626149,4d,d,4.0,0.6174031695351996,0.6745884505664165,5s,s,5.0,0.6745122082938887,0.3650580244431911,2p,p,2.0,0.3504183913968086,0.1538950270977744,2s,s,2.0,0.1042803682501763,,,,insulator
