comp,basisset#,abs_charge_spilling,bandOverlap_exists,bandOverlap_maxDev,bandOverlap_perc_kpts
1404_CsFrPCl,basisset0,1.09,True,0.0003,0.0
1405_CsRbNbCl,basisset0,0.67,True,0.0001,0.0
1406_CsEuDyCl,basisset0,1.21,True,0.0,0.0
1408_CsRbTaCl,basisset0,0.64,True,0.0,0.0
1409_CsSmYbCl,basisset0,1.195,True,0.0,0.0
1410_CsSmHgCl,basisset0,1.2,True,0.0009,0.0
1411_CsCdNdCl,basisset0,1.145,True,0.0017,0.0
1412_CsKLuCl,basisset0,1.04,False,NaN,NaN
1413_CsCuCeCl,basisset0,0.64,False,NaN,NaN
1414_CsMnTmCl,basisset0,0.955,False,NaN,NaN
1415_CsNaPdCl,basisset0,0.54,True,0.0097,0.0
1416_CsNaSbCl,basisset0,0.82,True,0.0008,0.0
1417_CsUVacCl,basisset0,0.855,True,0.0015,0.0
1418_CsCrRaCl,basisset0,0.86,True,0.0049,0.0
1419_CsTlScCl,basisset0,0.69,False,NaN,NaN
1420_CsKYbCl,basisset0,1.095,False,NaN,NaN
1421_CsTlAgCl,basisset0,0.6,False,NaN,NaN
1422_CsSrDyCl,basisset0,1.055,False,NaN,NaN
1424_CsAuTmCl,basisset0,1.16,False,NaN,NaN
1425_CsAgGaCl,basisset0,0.63,True,0.0,0.0
1426_CsNaAgCl,basisset0,0.495,True,0.0015,0.0
1427_CsLiNpCl,basisset0,0.815,True,0.0,0.0
1428_CsMnYbCl,basisset0,0.955,True,0.0001,0.0
1429_CsHgAsCl,basisset0,1.21,False,NaN,NaN
1430_CsTlBCl,basisset0,1.01,True,0.0079,0.0
1431_CsLiCeCl,basisset0,0.66,True,0.0009,0.0
1432_CsHgNiCl,basisset0,0.675,True,0.0,0.0
1433_CsCuPuCl,basisset0,0.785,False,NaN,NaN
1434_CsMnHgCl,basisset0,0.6,True,0.0,0.0
1435_CsZnTmCl,basisset0,1.155,False,NaN,NaN
1436_CsCoDyCl,basisset0,1.39,False,NaN,NaN
1437_CsHgCoCl,basisset0,0.675,False,NaN,NaN
1438_CsAuTlCl,basisset0,0.98,False,NaN,NaN
1439_CsNaScCl,basisset0,0.47,True,0.0014,0.0
1441_CsAgCrCl,basisset0,0.54,True,0.0,0.0
1442_CsCaCrCl,basisset0,0.665,True,0.0013,0.0
1443_CsAgMnCl,basisset0,0.555,False,NaN,NaN
1444_CsDyPbCl,basisset0,1.145,True,0.0008,0.0
1445_CsTlSbCl,basisset0,1.05,True,0.002,0.0
1446_CsTlPdCl,basisset0,0.85,True,0.0,0.0
1447_CsAuErCl,basisset0,1.14,False,NaN,NaN
1448_CsKTmCl,basisset0,1.09,True,0.0004,0.0
1450_CsZnHgCl,basisset0,0.64,True,0.0,0.0
1451_CsNiDyCl,basisset0,1.32,True,0.0093,0.0
1452_CsLiPuCl,basisset0,0.83,True,0.0,0.0
1453_CsCuTmCl,basisset0,1.155,False,NaN,NaN
1454_CsGeTmCl,basisset0,0.895,True,0.0,0.0
1455_CsCuPrCl,basisset0,1.14,True,0.0008,0.0
1456_CsRbScCl,basisset0,0.48,True,0.0,0.0
1457_CsKTlCl,basisset0,0.54,True,0.0069,0.0
1458_CsKErCl,basisset0,1.07,False,NaN,NaN
1459_CsEuNpCl,basisset0,1.245,False,NaN,NaN
1460_CsVRaCl,basisset0,0.89,True,0.0006,0.0
1461_CsAuYCl,basisset0,0.65,True,0.0006,0.0
1462_CsAgAcCl,basisset0,0.78,True,0.1183,1.3889
1462_CsAgAcCl,basisset1,0.74,False,NaN,NaN
1463_CsRbAgCl,basisset0,0.525,True,0.0001,0.0
1464_CsAuHoCl,basisset0,1.155,False,NaN,NaN
1465_CsGeYbCl,basisset0,0.9,False,NaN,NaN
1466_CsMgTmCl,basisset0,1.03,True,0.0001,0.0
1467_CsGeHgCl,basisset0,0.75,False,NaN,NaN
1468_CsLiPrCl,basisset0,1.2,True,0.0007,0.0
1469_CsCuHgCl,basisset0,0.635,True,0.0,0.0
1470_CsCaMnCl,basisset0,0.68,True,0.0032,0.0
1471_CsCuYbCl,basisset0,1.145,False,NaN,NaN
1472_CsCdPtCl,basisset0,0.75,False,NaN,NaN
1473_CsAgFeCl,basisset0,0.66,True,0.0,0.0
1474_CsLiNdCl,basisset0,1.185,True,0.0138,0.0
1475_CsSrNpCl,basisset0,1.1,False,NaN,NaN
1476_CsKYCl,basisset0,0.59,True,0.0,0.0
1477_CsPtRaCl,basisset0,0.98,True,0.0053,0.0
1478_CsRbPdCl,basisset0,0.585,True,0.0029,0.0
1479_CsRbSbCl,basisset0,0.86,False,NaN,NaN
1481_CsCeVacCl,basisset0,0.69,False,NaN,NaN
1482_CsNpVacCl,basisset0,0.87,True,0.0396,0.0
1483_CsCuCmCl,basisset0,0.8,True,0.0119,0.0
1484_CsCuPmCl,basisset0,1.125,True,0.0001,0.0
1485_CsCaZnCl,basisset0,0.72,True,0.0001,0.0
1486_CsBeNdCl,basisset0,1.225,True,0.0003,0.0
1487_CsMgYbCl,basisset0,1.03,False,NaN,NaN
1488_CsVCdCl,basisset0,0.565,False,NaN,NaN
1489_CsNaTaCl,basisset0,0.585,True,0.0014,0.0
1490_CsAgPtCl,basisset0,0.725,True,0.0,0.0
1491_CsNaNbCl,basisset0,0.615,True,0.0002,0.0
1492_CsMgHgCl,basisset0,0.71,True,0.0,0.0
1493_CsKHoCl,basisset0,1.08,True,0.0,0.0
1494_CsAuDyCl,basisset0,1.17,False,NaN,NaN
1495_CsLiAmCl,basisset0,0.825,True,0.0001,0.0
1496_CsCaNdCl,basisset0,1.05,False,NaN,NaN
1498_CsAgBaCl,basisset0,0.785,True,0.0202,0.0
1499_CsPbNpCl,basisset0,1.025,True,0.0109,0.0
1500_CsCaCuCl,basisset0,0.71,True,0.0069,0.0
1501_CsCaGeCl,basisset0,0.79,False,NaN,NaN
1502_CsLiCmCl,basisset0,0.845,True,0.0,0.0
1503_CsVAgCl,basisset0,0.555,False,NaN,NaN
1504_CsLiPmCl,basisset0,1.195,False,NaN,NaN
1505_CsAgNiCl,basisset0,0.625,True,0.0003,0.0
1506_CsHgCuCl,basisset0,0.635,True,0.0,0.0
1507_CsAgAsCl,basisset0,0.82,False,NaN,NaN
1508_CsKDyCl,basisset0,1.09,False,NaN,NaN
1509_CsCoTmCl,basisset0,1.34,True,0.0002,0.0
