comp,abs_charge_spilling,bandOverlap_exists,bandOverlap_maxDev,bandOverlap_perc_kpts,popdiff.total,popdiff.B1,popdiff.B2,charge.B1,charge.B2,charge.A,charge.X,charge.total,charge.balanced,Icohp.B1.sum,Icohp.B1.avg,Icohp.B1.avg_spinup,Icohp.B1.avg_spindown,Icohp.B1.x_avg,Icohp.B1.x_spinup,Icohp.B1.x_spindown,Icohp.B1.y_avg,Icohp.B1.y_spinup,Icohp.B1.y_spindown,Icohp.B1.z_avg,Icohp.B1.z_spinup,Icohp.B1.z_spindown,Icobi.B1.sum,Icobi.B1.avg,Icobi.B1.avg_spinup,Icobi.B1.avg_spindown,Icobi.B1.x_avg,Icobi.B1.x_spinup,Icobi.B1.x_spindown,Icobi.B1.y_avg,Icobi.B1.y_spinup,Icobi.B1.y_spindown,Icobi.B1.z_avg,Icobi.B1.z_spinup,Icobi.B1.z_spindown,Icohp.B1.axial_asym_index,Icohp.B1.directional_asym_index,Icobi.B1.axial_asym_index,Icobi.B1.directional_asym_index,Icohp.B2.sum,Icohp.B2.avg,Icohp.B2.avg_spinup,Icohp.B2.avg_spindown,Icohp.B2.x_avg,Icohp.B2.x_spinup,Icohp.B2.x_spindown,Icohp.B2.y_avg,Icohp.B2.y_spinup,Icohp.B2.y_spindown,Icohp.B2.z_avg,Icohp.B2.z_spinup,Icohp.B2.z_spindown,Icobi.B2.sum,Icobi.B2.avg,Icobi.B2.avg_spinup,Icobi.B2.avg_spindown,Icobi.B2.x_avg,Icobi.B2.x_spinup,Icobi.B2.x_spindown,Icobi.B2.y_avg,Icobi.B2.y_spinup,Icobi.B2.y_spindown,Icobi.B2.z_avg,Icobi.B2.z_spinup,Icobi.B2.z_spindown,Icohp.B2.axial_asym_index,Icohp.B2.directional_asym_index,Icobi.B2.axial_asym_index,Icobi.B2.directional_asym_index,MadelungEnergy,SitePotential.B1,SitePotential.B2
3320_CsNaTiBr,0.595,False,,,0.99,0.0,1.03,0.58,1.05,1.01,-0.61,-0.01,True,-5.19243,-0.865405,-0.4317783333333334,-0.4336266666666666,-0.8709199999999999,-0.43449,-0.43643,-0.86307,-0.43062,-0.43245,-0.862225,-0.4302249999999999,-0.432,0.60371,0.1006183333333333,0.05018,0.0504383333333333,0.10225,0.051005,0.051245,0.099855,0.04978,0.0500749999999999,0.09975,0.049755,0.049995,0.0001937135695945,0.0100473188853772,7.41057279626232e-05,0.024846366632986,-16.692429999999998,-2.7820716666666665,-1.373395,-1.4086766666666666,-2.731595,-1.332515,-1.39908,-2.80071,-1.38855,-1.41216,-2.81391,-1.39912,-1.41479,2.8821600000000003,0.48036,0.2399666666666666,0.2403933333333333,0.459255,0.226815,0.23244,0.488205,0.244855,0.24335,0.49362,0.24823,0.24539,0.0007201098956676,0.0295876633899318,0.0001322665567422,0.0715400949288033,-22.22,-5.93,-9.85
3319_CsZnCdBr,0.64,True,0.0,0.0,0.0,0.0,0.0,1.29,1.31,1.0,-0.77,-0.02,True,-5.71928,-0.9532133333333334,-0.4766066666666666,-0.4766066666666667,-0.95321,-0.476605,-0.476605,-0.95322,-0.47661,-0.47661,-0.95321,-0.476605,-0.476605,0.86544,0.14424,0.07212,0.07212,0.14424,0.07212,0.07212,0.1442399999999999,0.07212,0.0721199999999999,0.1442399999999999,0.0721199999999999,0.0721199999999999,0.0002439030401485,1.0490831013646286e-05,2.426699300891845e-05,1.9242634231578562e-16,-5.36012,-0.8933533333333333,-0.4466783333333333,-0.4466749999999999,-0.893355,-0.44668,-0.446675,-0.893355,-0.44668,-0.446675,-0.8933500000000001,-0.446675,-0.446675,0.84409,0.1406816666666666,0.07034,0.0703416666666666,0.14068,0.07034,0.07034,0.140685,0.07034,0.0703449999999999,0.14068,0.07034,0.07034,0.0001821321655276,5.596889621786528e-06,1.2133498833110703e-05,3.5541233754729946e-05,-36.22,-11.95,-10.98
3321_CsCaNiBr,0.79,True,0.0149,0.0,2.01,0.02,1.63,1.48,1.04,1.01,-0.7599999999999999,-0.02,True,-6.02082,-1.00347,-0.5011516666666667,-0.5023183333333333,-1.00326,-0.501035,-0.5022249999999999,-1.0036,-0.50127,-0.5023299999999999,-1.00355,-0.50115,-0.5024,0.6982900000000001,0.1163816666666666,0.058705,0.0576766666666666,0.11641,0.05872,0.05769,0.116355,0.058685,0.05767,0.11638,0.05871,0.05767,9.780945405009038e-05,0.0003388242797492,2.753788531393548e-05,0.000472583024245,-8.26289,-1.3771483333333334,-0.5381883333333334,-0.83896,-1.37682,-0.53793,-0.8388899999999999,-1.37746,-0.53849,-0.83897,-1.3771650000000002,-0.5381450000000001,-0.83902,1.11383,0.1856383333333333,0.06865,0.1169883333333333,0.185555,0.068595,0.11696,0.18572,0.06871,0.11701,0.18564,0.068645,0.116995,0.0003144176675108,0.00046472844247,5.842853409156785e-05,0.0008888250451145,-34.91,-11.21,-11.34
3322_CsRbLuBr,1.07,False,,,0.0,0.0,0.0,1.01,0.81,1.0,-0.64,-0.02,True,-0.05644,-0.0094066666666666,-0.004705,-0.0047016666666666,-0.00937,-0.004705,-0.004665,-0.009405,-0.0047,-0.004705,-0.009445,-0.00471,-0.004735,0.0016799999999999,0.0002799999999999,0.0001399999999999,0.0001399999999999,0.00028,0.00014,0.00014,0.00028,0.00014,0.00014,0.00028,0.00014,0.00014,2.4152289685636e-05,0.0079730687455705,1.5884724945498018e-20,0.0,-21.16939,-3.5282316666666667,-1.7641383333333334,-1.7640933333333333,-3.5198,-1.76572,-1.75408,-3.529125,-1.763565,-1.76556,-3.5357700000000003,-1.76313,-1.77264,3.35362,0.5589366666666666,0.2794733333333333,0.2794633333333333,0.558465,0.27941,0.279055,0.55908,0.2795149999999999,0.279565,0.5592649999999999,0.279495,0.2797699999999999,0.0007801855970162,0.0045263467676679,0.0001543262274028,0.0014312891740863,-21.73,-7.19,-8.75
3323_CsYbFrF,1.27,False,,,0.98,0.98,0.0,2.64,0.79,1.06,-0.9233333333333332,0.01,True,-6.088659999999999,-1.0147766666666664,-0.4938233333333333,-0.5209533333333333,-1.014875,-0.48709,-0.527785,-1.015435,-0.489975,-0.52546,-1.01402,-0.504405,-0.5096149999999999,0.45468,0.07578,0.0363216666666666,0.0394583333333333,0.076085,0.03604,0.040045,0.07612,0.03612,0.0399999999999999,0.075135,0.036805,0.03833,0.0003220856109636,0.00139439548275,4.8476857430306736e-05,0.0129981525468459,-2.56686,-0.42781,-0.2137683333333333,-0.2140416666666666,-0.43259,-0.21814,-0.21445,-0.432125,-0.21636,-0.2157649999999999,-0.418715,-0.206805,-0.21191,0.2280599999999999,0.0380099999999999,0.0190066666666666,0.0190033333333333,0.038395,0.01929,0.0191049999999999,0.038345,0.019205,0.01914,0.03729,0.018525,0.018765,0.0002129291495224,0.032432621958346,2.7988072281802763e-05,0.029071297027098,-70.97,-25.09,-8.21
3324_CsAlAgBr,0.8,True,0.0005,0.0,0.0,0.0,0.0,0.2,0.53,1.01,-0.46,-0.01,True,-26.50204,-4.4170066666666665,-2.208501666666667,-2.208505,-4.41548,-2.20808,-2.2074,-4.42023,-2.21117,-2.20906,-4.41531,-2.206255,-2.209055,3.43708,0.5728466666666666,0.2864233333333333,0.2864233333333333,0.572295,0.2862099999999999,0.286085,0.5740149999999999,0.2872,0.286815,0.57223,0.28586,0.28637,0.0012626679850946,0.0011138765166757,0.0003419142340451,0.003116017084269,-5.44473,-0.907455,-0.453725,-0.45373,-0.907065,-0.45362,-0.453445,-0.90828,-0.45441,-0.45387,-0.90702,-0.453145,-0.453875,0.7318499999999999,0.1219749999999999,0.0609883333333333,0.0609866666666666,0.12197,0.060985,0.060985,0.1219899999999999,0.061,0.06099,0.121965,0.06098,0.060985,0.0008089802174714,0.0013884986032365,0.0001597656691398,0.0002049600327934,-12.57,-4.53,-4.84
3326_CsNaRhBr,0.51,True,0.0001,0.0,0.0,0.0,0.0,0.61,0.47,1.01,-0.52,-0.02,True,-4.91029,-0.8183816666666667,-0.4092033333333333,-0.4091783333333333,-0.8182799999999999,-0.40913,-0.40915,-0.8185100000000001,-0.409325,-0.409185,-0.818355,-0.409155,-0.4092,0.5495,0.0915833333333333,0.0457916666666666,0.0457916666666666,0.091555,0.0457749999999999,0.04578,0.091615,0.045815,0.0457999999999999,0.09158,0.045785,0.045795,3.715576447120546e-05,0.0002810424638872,1.3944309927596247e-05,0.0006551410373066,-15.8968,-2.649466666666666,-1.3247216666666668,-1.324745,-2.64952,-1.32476,-1.32476,-2.649425,-1.32468,-1.324745,-2.649455,-1.324725,-1.32473,2.7641,0.4606833333333333,0.2303433333333333,0.23034,0.460685,0.230345,0.23034,0.46068,0.23034,0.23034,0.460685,0.230345,0.23034,0.0008247060501706,3.585627296057932e-05,0.0001173078641518,1.0853442350203151e-05,-15.46,-5.34,-6.66
3328_CsLiTbBr,1.23,True,0.0005,0.0,-6.02,0.0,-5.96,0.46,2.35,1.02,-0.8100000000000002,-0.01,True,-5.424270000000001,-0.904045,-0.4598766666666667,-0.4441683333333333,-0.90412,-0.45959,-0.44453,-0.90425,-0.4606249999999999,-0.443625,-0.903765,-0.459415,-0.44435,0.66465,0.110775,0.05556,0.0552149999999999,0.1109199999999999,0.055575,0.055345,0.110655,0.0556,0.055055,0.11075,0.055505,0.055245,0.0006409995277294,0.0005364777195826,7.49258746298599e-05,0.0023922365154591,-7.040280000000001,-1.17338,-0.6200183333333333,-0.5533616666666666,-1.173645,-0.620075,-0.55357,-1.17324,-0.620055,-0.553185,-1.1732550000000002,-0.6199250000000001,-0.5533300000000001,0.78995,0.1316583333333333,0.0699916666666666,0.0616666666666666,0.13168,0.07,0.06168,0.13165,0.069995,0.061655,0.131645,0.06998,0.061665,0.0001589723732252,0.000345156726721,2.587362102648932e-05,0.0002658396101019,-43.63,-7.92,-16.18
3329_CsCuDyBr,1.21,False,,,4.97,0.01,4.96,0.45,2.32,1.02,-0.7999999999999999,0.01,True,-5.49921,-0.916535,-0.4529366666666667,-0.4635983333333333,-0.91631,-0.452835,-0.4634749999999999,-0.91866,-0.454235,-0.464425,-0.914635,-0.45174,-0.4628949999999999,0.72977,0.1216283333333333,0.0606983333333333,0.0609299999999999,0.121585,0.060675,0.06091,0.12226,0.061035,0.061225,0.12104,0.0603849999999999,0.060655,0.0001057906762202,0.0043915398757276,1.0137937780799258e-05,0.0100305575729339,-7.016919999999999,-1.1694866666666666,-0.5587416666666667,-0.6107450000000001,-1.16871,-0.558535,-0.610175,-1.16623,-0.55906,-0.60717,-1.17352,-0.55863,-0.6148899999999999,0.7939800000000001,0.13233,0.062395,0.069935,0.132265,0.062405,0.06986,0.13182,0.06238,0.06944,0.132905,0.0624,0.070505,2.560379174590783e-05,0.0062335041585197,7.0710602409783e-06,0.0081991989722663,-42.74,-8.16,-15.93
3330_CsPbRaF,1.18,False,,,0.0,0.0,0.0,1.03,1.75,1.04,-0.8100000000000002,0.0,True,-12.86821,-2.1447016666666667,-1.0725866666666668,-1.072115,-2.143675,-1.073735,-1.06994,-2.1497900000000003,-1.071865,-1.077925,-2.1406400000000003,-1.07216,-1.06848,1.5319600000000002,0.2553266666666667,0.1277433333333333,0.1275833333333333,0.25511,0.127795,0.127315,0.25633,0.1279449999999999,0.128385,0.25454,0.12749,0.12705,0.0002778340651763,0.0042663276399747,9.89388786594638e-05,0.0070106269093188,-3.71378,-0.6189633333333334,-0.309795,-0.3091683333333334,-0.620045,-0.30895,-0.311095,-0.61611,-0.3104599999999999,-0.30565,-0.620735,-0.309975,-0.31076,0.32088,0.05348,0.0267216666666666,0.0267583333333333,0.053565,0.02669,0.026875,0.053135,0.026645,0.02649,0.0537399999999999,0.02683,0.02691,0.0010597085947931,0.0074721712110033,6.302553917186112e-05,0.0113126402393417,-43.93,-12.05,-14.25
3332_CsCuCdBr,0.625,False,,,0.98,0.51,0.01,0.87,1.29,1.0,-0.6966666666666668,-0.02,True,-7.60707,-1.267845,-0.5528050000000001,-0.71504,-1.10876,-0.55653,-0.55223,-1.3493499999999998,-0.550915,-0.798435,-1.345425,-0.55097,-0.794455,1.03398,0.17233,0.06935,0.10298,0.13617,0.06898,0.06719,0.190795,0.069525,0.12127,0.190025,0.069545,0.12048,2.3862993555079653e-05,0.1897629442084796,5.270453589937717e-06,0.3169790518191839,-5.457839999999999,-0.90964,-0.4522816666666666,-0.4573583333333333,-0.96957,-0.46062,-0.50895,-0.879215,-0.447975,-0.43124,-0.880135,-0.44825,-0.431885,0.85328,0.1422133333333333,0.0710733333333333,0.07114,0.16525,0.07856,0.08669,0.130515,0.067255,0.06326,0.130875,0.0674049999999999,0.06347,8.695478446840027e-05,0.0993305043753573,1.1785131279977266e-05,0.2442457341083818,-29.36,-9.62,-10.36
3331_CsRbYbBr,1.15,False,,,1.0,0.0,0.96,1.0,2.36,1.01,-0.9,-0.02,True,-0.01622,-0.0027033333333333,-0.0011866666666666,-0.0015166666666666,-0.00283,-0.00118,-0.00165,-0.00292,-0.00118,-0.00174,-0.00236,-0.0012,-0.00116,0.00036,6e-05,3e-05,3e-05,6e-05,3e-05,3e-05,6e-05,3e-05,3e-05,6e-05,3e-05,3e-05,3.333333484038968e-06,0.2071516646115906,1.2203516917921418e-20,0.0,-7.18039,-1.1967316666666667,-0.5885733333333333,-0.6081583333333334,-1.1998,-0.58861,-0.61119,-1.202245,-0.588265,-0.61398,-1.18815,-0.5888450000000001,-0.599305,0.8193499999999999,0.1365583333333333,0.06538,0.0711783333333333,0.1371099999999999,0.065385,0.071725,0.137595,0.0653199999999999,0.072275,0.1349699999999999,0.065435,0.069535,0.0003388910976924,0.0117779117847359,6.914154782401913e-05,0.0192225544639044,-51.39,-8.64,-17.76
