CsKIrCl,Cs,K,1,Ir,3,Cl,1090
CsRbCuCl,Cs,Rb,1,Cu,3,Cl,1091
CsAuMoCl,Cs,Au,1,Mo,3,Cl,1092
CsKRuCl,Cs,K,1,Ru,3,Cl,1093
CsKAsCl,Cs,K,1,As,3,Cl,1094
CsZnSmCl,Cs,Zn,2,Sm,2,Cl,1095
CsRbPCl,Cs,Rb,1,P,3,Cl,1096
CsVEuCl,Cs,V,2,Eu,2,Cl,1097
CsKNiCl,Cs,K,1,Ni,3,Cl,1098
CsPdNpCl,Cs,Pd,2,Np,2,Cl,1099
CsFrNCl,Cs,Fr,1,N,3,Cl,1100
CsAgHgCl,Cs,Ag,2,Hg,2,Cl,1101
CsTiNpCl,Cs,Ti,2,Np,2,Cl,1102
CsMnAmCl,Cs,Mn,2,Am,2,Cl,1103
CsNaGdCl,Cs,Na,1,Gd,3,Cl,1104
CsKCoCl,Cs,K,1,Co,3,Cl,1105
CsTiAmCl,Cs,Ti,2,Am,2,Cl,1106
CsHgTmCl,Cs,Hg,1,Tm,3,Cl,1107
CsKMoCl,Cs,K,1,Mo,3,Cl,1108
CsFrBCl,Cs,Fr,1,B,3,Cl,1109
CsMgBaCl,Cs,Mg,2,Ba,2,Cl,1110
CsPdAmCl,Cs,Pd,2,Am,2,Cl,1111
CsCaDyCl,Cs,Ca,2,Dy,2,Cl,1112
CsCrPbCl,Cs,Cr,2,Pb,2,Cl,1113
CsAgTbCl,Cs,Ag,1,Tb,3,Cl,1114
CsHgTlCl,Cs,Hg,1,Tl,3,Cl,1115
CsZnAmCl,Cs,Zn,2,Am,2,Cl,1116
CsGeSmCl,Cs,Ge,2,Sm,2,Cl,1117
CsAuNiCl,Cs,Au,1,Ni,3,Cl,1118
CsAuAsCl,Cs,Au,1,As,3,Cl,1119
CsHgSbCl,Cs,Hg,1,Sb,3,Cl,1120
CsHgPdCl,Cs,Hg,1,Pd,3,Cl,1121
CsCaCdCl,Cs,Ca,2,Cd,2,Cl,1122
CsCuSmCl,Cs,Cu,2,Sm,2,Cl,1123
CsAgInCl,Cs,Ag,1,In,3,Cl,1124
CsTlCoCl,Cs,Tl,1,Co,3,Cl,1125
CsAuCoCl,Cs,Au,1,Co,3,Cl,1126
CsVNdCl,Cs,V,2,Nd,2,Cl,1127
CsTlNiCl,Cs,Tl,1,Ni,3,Cl,1128
CsGeBaCl,Cs,Ge,2,Ba,2,Cl,1129
CsPdSmCl,Cs,Pd,2,Sm,2,Cl,1130
CsTlAsCl,Cs,Tl,1,As,3,Cl,1131
CsCuBaCl,Cs,Cu,2,Ba,2,Cl,1132
CsHgErCl,Cs,Hg,1,Er,3,Cl,1133
CsTiSmCl,Cs,Ti,2,Sm,2,Cl,1134
CsCrSrCl,Cs,Cr,2,Sr,2,Cl,1135
CsNaTbCl,Cs,Na,1,Tb,3,Cl,1136
CsGeAmCl,Cs,Ge,2,Am,2,Cl,1137
CsCuAmCl,Cs,Cu,2,Am,2,Cl,1138
CsTlPCl,Cs,Tl,1,P,3,Cl,1139
CsMgSmCl,Cs,Mg,2,Sm,2,Cl,1140
CsHgAgCl,Cs,Hg,1,Ag,3,Cl,1141
CsTeVacCl,Cs,Te,4,Vac,0,Cl,1142
CsMnPbCl,Cs,Mn,2,Pb,2,Cl,1143
CsCaAgCl,Cs,Ca,2,Ag,2,Cl,1144
CsAgGdCl,Cs,Ag,1,Gd,3,Cl,1145
CsAuNbCl,Cs,Au,1,Nb,3,Cl,1146
CsZnBaCl,Cs,Zn,2,Ba,2,Cl,1147
CsAuTaCl,Cs,Au,1,Ta,3,Cl,1148
CsDyHgCl,Cs,Dy,2,Hg,2,Cl,1149
CsNdPtCl,Cs,Nd,2,Pt,2,Cl,1150
CsHgYCl,Cs,Hg,1,Y,3,Cl,1151
CsDyYbCl,Cs,Dy,2,Yb,2,Cl,1152
CsHgHoCl,Cs,Hg,1,Ho,3,Cl,1153
CsCrEuCl,Cs,Cr,2,Eu,2,Cl,1154
CsHgScCl,Cs,Hg,1,Sc,3,Cl,1155
CsNaDyCl,Cs,Na,1,Dy,3,Cl,1156
CsTiDyCl,Cs,Ti,2,Dy,2,Cl,1157
CsBeRaCl,Cs,Be,2,Ra,2,Cl,1158
CsMnSrCl,Cs,Mn,2,Sr,2,Cl,1159
CsZnPbCl,Cs,Zn,2,Pb,2,Cl,1160
CsPdDyCl,Cs,Pd,2,Dy,2,Cl,1161
CsMgAmCl,Cs,Mg,2,Am,2,Cl,1162
CsAgEuCl,Cs,Ag,1,Eu,3,Cl,1163
CsRbCoCl,Cs,Rb,1,Co,3,Cl,1164
CsTlFeCl,Cs,Tl,1,Fe,3,Cl,1165
CsKTaCl,Cs,K,1,Ta,3,Cl,1166
CsDyTmCl,Cs,Dy,2,Tm,2,Cl,1167
CsCaNpCl,Cs,Ca,2,Np,2,Cl,1168
CsRbAsCl,Cs,Rb,1,As,3,Cl,1169
CsMnBaCl,Cs,Mn,2,Ba,2,Cl,1170
CsRbNiCl,Cs,Rb,1,Ni,3,Cl,1171
CsKNbCl,Cs,K,1,Nb,3,Cl,1172
CsHgDyCl,Cs,Hg,1,Dy,3,Cl,1173
CsNaHoCl,Cs,Na,1,Ho,3,Cl,1174
CsKCuCl,Cs,K,1,Cu,3,Cl,1175
CsZnSrCl,Cs,Zn,2,Sr,2,Cl,1176
CsNaYCl,Cs,Na,1,Y,3,Cl,1177
CsMnEuCl,Cs,Mn,2,Eu,2,Cl,1178
CsGePbCl,Cs,Ge,2,Pb,2,Cl,1179
CsCuPbCl,Cs,Cu,2,Pb,2,Cl,1180
CsAgSmCl,Cs,Ag,1,Sm,3,Cl,1181
CsCoSmCl,Cs,Co,2,Sm,2,Cl,1182
CsKAlCl,Cs,K,1,Al,3,Cl,1183
CsFeSmCl,Cs,Fe,2,Sm,2,Cl,1184
CsTlMnCl,Cs,Tl,1,Mn,3,Cl,1185
CsHgTbCl,Cs,Hg,1,Tb,3,Cl,1186
CsAuScCl,Cs,Au,1,Sc,3,Cl,1187
CsTlCrCl,Cs,Tl,1,Cr,3,Cl,1188
CsCrBaCl,Cs,Cr,2,Ba,2,Cl,1189
CsAgSbCl,Cs,Ag,1,Sb,3,Cl,1190
CsHgTaCl,Cs,Hg,1,Ta,3,Cl,1191
CsHgNbCl,Cs,Hg,1,Nb,3,Cl,1192
CsZnEuCl,Cs,Zn,2,Eu,2,Cl,1193
CsMgPbCl,Cs,Mg,2,Pb,2,Cl,1194
CsAuCuCl,Cs,Au,1,Cu,3,Cl,1195
CsGeSrCl,Cs,Ge,2,Sr,2,Cl,1196
CsCuSrCl,Cs,Cu,2,Sr,2,Cl,1197
CsNiSmCl,Cs,Ni,2,Sm,2,Cl,1198
CsAgPdCl,Cs,Ag,1,Pd,3,Cl,1199
CsNaErCl,Cs,Na,1,Er,3,Cl,1200
CsRbFeCl,Cs,Rb,1,Fe,3,Cl,1201
CsCoAmCl,Cs,Co,2,Am,2,Cl,1202
CsAgPmCl,Cs,Ag,1,Pm,3,Cl,1203
CsCdEuCl,Cs,Cd,2,Eu,2,Cl,1204
CsYbNpCl,Cs,Yb,2,Np,2,Cl,1205
CsHgNpCl,Cs,Hg,2,Np,2,Cl,1206
CsSrAgCl,Cs,Sr,2,Ag,2,Cl,1207
CsAuAgCl,Cs,Au,1,Ag,3,Cl,1208
CsTlGaCl,Cs,Tl,1,Ga,3,Cl,1209
CsAgCmCl,Cs,Ag,1,Cm,3,Cl,1210
CsNaTlCl,Cs,Na,1,Tl,3,Cl,1211
CsFeAmCl,Cs,Fe,2,Am,2,Cl,1212
CsAuAlCl,Cs,Au,1,Al,3,Cl,1213
CsKScCl,Cs,K,1,Sc,3,Cl,1214
CsAgAmCl,Cs,Ag,1,Am,3,Cl,1215
CsPtNpCl,Cs,Pt,2,Np,2,Cl,1216
CsMgSrCl,Cs,Mg,2,Sr,2,Cl,1217
CsNaTmCl,Cs,Na,1,Tm,3,Cl,1218
CsCuEuCl,Cs,Cu,2,Eu,2,Cl,1219
CsNiAmCl,Cs,Ni,2,Am,2,Cl,1220
CsAgAgCl,Cs,Ag,1,Ag,3,Cl,1221
CsGeEuCl,Cs,Ge,2,Eu,2,Cl,1222
CsHgGdCl,Cs,Hg,1,Gd,3,Cl,1223
CsTmNpCl,Cs,Tm,2,Np,2,Cl,1224
CsAuSbCl,Cs,Au,1,Sb,3,Cl,1225
CsAgPbCl,Cs,Ag,2,Pb,2,Cl,1226
CsAuPdCl,Cs,Au,1,Pd,3,Cl,1227
CsSrCdCl,Cs,Sr,2,Cd,2,Cl,1228
CsKAgCl,Cs,K,1,Ag,3,Cl,1229
CsAgScCl,Cs,Ag,1,Sc,3,Cl,1230
CsRbMnCl,Cs,Rb,1,Mn,3,Cl,1231
CsAgNdCl,Cs,Ag,1,Nd,3,Cl,1232
CsRbCrCl,Cs,Rb,1,Cr,3,Cl,1233
