,bsites,xsite,icsd_a_lat_avg,icsd_a_lat_min,icsd_a_lat_max,a_lat_diff_min,a_lat_diff_max,sim_a_lat
CsHfCl,"{'Hf', nan}",Cl,10.3827,10.299,10.4208,0.08370000000000033,0.03810000000000002,
CsZrCl,"{nan, 'Zr'}",Cl,10.405375,10.306,10.4544,0.09937500000000021,0.04902500000000032,
CsTeCl,"{'Te', nan}",Cl,10.459075,10.445,10.4754,0.01407500000000006,0.016325000000000145,
CsRuCl,"{'Ru', nan}",Cl,10.205,10.205,10.205,0.0,0.0,
CsWCl,"{'W', nan}",Cl,10.28575,10.245,10.3265,0.04075000000000095,0.040749999999999176,
CsOsCl,"{'Os', nan}",Cl,10.27095,10.2323,10.3096,0.03864999999999874,0.03865000000000052,
CsTaCl,"{'Ta', nan}",Cl,10.271,10.271,10.271,0.0,0.0,
CsMoCl,"{'Mo', nan}",Cl,10.2121,10.2121,10.2121,0.0,0.0,
CsTiCl,"{'Ti', nan}",Cl,10.219,10.219,10.219,0.0,0.0,
CsSeCl,"{'Se', nan}",Cl,10.26,10.26,10.26,0.0,0.0,
CsPbCl,"{'Pb', nan}",Cl,10.426,10.416,10.436,0.009999999999999787,0.009999999999999787,
CsGeCl,"{'Ge', nan}",Cl,10.23,10.23,10.23,0.0,0.0,
CsPdCl,"{'Pd', nan}",Cl,10.314,10.314,10.314,0.0,0.0,
CsErNaF,"{'Na', 'Er'}",F,9.061,9.061,9.061,0.0,0.0,8.950682441174964
CsNaScF,"{'Sc', 'Na'}",F,8.758433333333334,8.5553,8.867,0.2031333333333336,0.10856666666666648,8.802496763463957
CsCuKF,"{'K', 'Cu'}",F,8.894,8.894,8.894,0.0,0.0,8.913401411746642
CsFeNaF,"{'Na', 'Fe'}",F,8.739,8.739,8.739,0.0,0.0,8.690987989823055
CsKTiF,"{'Ti', 'K'}",F,9.1195,9.115,9.124,0.0045000000000001705,0.0045000000000001705,9.05524281641181
CsKMnF,"{'K', 'Mn'}",F,9.067,9.067,9.067,0.0,0.0,8.9899604116505
CsKYF,"{'K', 'Y'}",F,9.45,9.445,9.455,0.004999999999999005,0.005000000000000782,9.40028984816918
CsEuNaF,"{'Eu', 'Na'}",F,9.143,9.143,9.143,0.0,0.0,9.075664276220948
CsKMoF,"{'Mo', 'K'}",F,9.21,9.21,9.21,0.0,0.0,9.161116184601289
CsKRhF,"{'K', 'Rh'}",F,9.049,9.049,9.049,0.0,0.0,9.021276254301805
CsFeTlF,"{'Tl', 'Fe'}",F,9.211,9.211,9.211,0.0,0.0,8.980027095151533
CsCoKF,"{'K', 'Co'}",F,8.979,8.979,8.979,0.0,0.0,8.831119955600228
CsKNiF,"{'Ni', 'K'}",F,8.936,8.936,8.936,0.0,0.0,8.877079612519141
