CollectionCode	CcdcNo	HMS	StructuredFormula	StructureType	Title	Authors	Reference	CellParameter	ReducedCellParameter	StandardisedCellParameter	Temperature	Pressure	MineralName	PublicationYear	Quality	
207504		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.91803(2) 10.91803(2) 10.91803(2) 90. 90. 90.	7.7202 7.7202 7.7202 60.000 60.000 60.000	10.9180 10.9180 10.9180 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207505		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.92138(6) 10.92138(6) 10.92138(6) 90. 90. 90.	7.7226 7.7226 7.7226 60.000 60.000 60.000	10.9214 10.9214 10.9214 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207506		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.92162(4) 10.92162(4) 10.92162(4) 90. 90. 90.	7.7228 7.7228 7.7228 60.000 60.000 60.000	10.9216 10.9216 10.9216 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207507		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.92325(4) 10.92325(4) 10.92325(4) 90. 90. 90.	7.7239 7.7239 7.7239 60.000 60.000 60.000	10.9233 10.9233 10.9233 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207508		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.93071(7) 10.93071(7) 10.93071(7) 90. 90. 90.	7.7292 7.7292 7.7292 60.000 60.000 60.000	10.9307 10.9307 10.9307 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207509		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.93354(3) 10.93354(3) 10.93354(3) 90. 90. 90.	7.7312 7.7312 7.7312 60.000 60.000 60.000	10.9335 10.9335 10.9335 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207510		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.919491(9) 10.919491(9) 10.919491(9) 90. 90. 90.	7.7212 7.7212 7.7212 60.000 60.000 60.000	10.9195 10.9195 10.9195 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207511		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.92134(4) 10.92134(4) 10.92134(4) 90. 90. 90.	7.7226 7.7226 7.7226 60.000 60.000 60.000	10.9213 10.9213 10.9213 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207512		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.9217(2) 10.9217(2) 10.9217(2) 90. 90. 90.	7.7228 7.7228 7.7228 60.000 60.000 60.000	10.9217 10.9217 10.9217 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207513		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.919473(4) 10.919473(4) 10.919473(4) 90. 90. 90.	7.7212 7.7212 7.7212 60.000 60.000 60.000	10.9195 10.9195 10.9195 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207514		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.92115(9) 10.92115(9) 10.92115(9) 90. 90. 90.	7.7224 7.7224 7.7224 60.000 60.000 60.000	10.9212 10.9212 10.9212 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207515		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.92344(4) 10.92344(4) 10.92344(4) 90. 90. 90.	7.7240 7.7240 7.7240 60.000 60.000 60.000	10.9234 10.9234 10.9234 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207516		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.919473(4) 10.919473(4) 10.919473(4) 90. 90. 90.	7.7212 7.7212 7.7212 60.000 60.000 60.000	10.9195 10.9195 10.9195 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207517		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.92105(3) 10.92105(3) 10.92105(3) 90. 90. 90.	7.7223 7.7223 7.7223 60.000 60.000 60.000	10.9211 10.9211 10.9211 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207518		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.92781(7) 10.92781(7) 10.92781(7) 90. 90. 90.	7.7271 7.7271 7.7271 60.000 60.000 60.000	10.9278 10.9278 10.9278 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207519		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.916167(7) 10.916167(7) 10.916167(7) 90. 90. 90.	7.7189 7.7189 7.7189 60.000 60.000 60.000	10.9162 10.9162 10.9162 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207520		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.91911(5) 10.91911(5) 10.91911(5) 90. 90. 90.	7.7210 7.7210 7.7210 60.000 60.000 60.000	10.9191 10.9191 10.9191 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207521		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.91976(3) 10.91976(3) 10.91976(3) 90. 90. 90.	7.7214 7.7214 7.7214 60.000 60.000 60.000	10.9198 10.9198 10.9198 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207522		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.91924(5) 10.91924(5) 10.91924(5) 90. 90. 90.	7.7211 7.7211 7.7211 60.000 60.000 60.000	10.9192 10.9192 10.9192 90.000 90.000 90.000	293.00	0.101325		2024	-1	
207523		F m -3 m	Cs2 Te Br6	K2PtCl6	Tuning the optical absorption edge of vacancy-ordered double perovskites through metal precursor and solvent selection	Brumberg, Alexandra; Kuklinski, Owen; Kent, Greggory T.; Morgan, Emily E.; Mikhailovsky, Alexander A.; Strom, T. Amanda; Chabinyc, Michael L.; Seshadri, Ram	Chemistry of Materials (2024) 36, (19) p. 9625-9635	10.92209(4) 10.92209(4) 10.92209(4) 90. 90. 90.	7.7231 7.7231 7.7231 60.000 60.000 60.000	10.9221 10.9221 10.9221 90.000 90.000 90.000	293.00	0.101325		2024	-1	
211910		F m -3 m	Cs2 Ti Br6	K2PtCl6	X-ray diffraction study of rubidium and cesium bromotitanates	Kozhina, I.I.; Korol'kov, D.V.	Journal of Structural Chemistry (1965) 6, (1) p. 84-89	10.57(2) 10.57(2) 10.57(2) 90. 90. 90.	7.4741 7.4741 7.4741 60.000 60.000 60.000	10.5700 10.5700 10.5700 90.000 90.000 90.000	293.00	0.101325		1965	-1	
2738		F m -3 m	Cs2 Na Bi Cl6	K2NaAlF6	The crystal structure of Cs2 Na Bi Cl6	Morss, L.R.; Robinson, W.R.	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1972) 28,  p. 653-654	10.839(1) 10.839(1) 10.839(1) 90. 90. 90.	7.6643 7.6643 7.6643 60.000 60.000 60.000	10.8390 10.8390 10.8390 90.000 90.000 90.000	293.00	0.101325		1972	10	
11523		F m -3 m	Cs2 Ag Bi Cl6	K2NaAlF6	Broadband white emission in Cs$_2$AgIn$_{1-x}$Bi$_x$Cl$_6$ phosphors	Gray, Matthew B.; Majher, Jackson D.; Strom, T. Amanda; Woodward, Patrick M.	Inorganic Chemistry (2019) 58, (19) p. 13403-13410	10.77687(4) 10.77687(4) 10.77687(4) 90. 90. 90.	7.6204 7.6204 7.6204 60.000 60.000 60.000	10.7769 10.7769 10.7769 90.000 90.000 90.000	298.00	0.101325		2019	10	
11524		F m -3 m	Cs2 Ag In Cl6	K2NaAlF6	Broadband white emission in Cs$_2$AgIn$_{1-x}$Bi$_x$Cl$_6$ phosphors	Gray, Matthew B.; Majher, Jackson D.; Strom, T. Amanda; Woodward, Patrick M.	Inorganic Chemistry (2019) 58, (19) p. 13403-13410	10.4803(2) 10.4803(2) 10.4803(2) 90. 90. 90.	7.4107 7.4107 7.4107 60.000 60.000 60.000	10.4803 10.4803 10.4803 90.000 90.000 90.000	298.00	0.101325		2019	10	
19130		F m -3 m	Cs2 Ag In Cl6	K2NaAlF6	Incorporating rare-earth terbium(III) ions into \(Cs_2 AgInCl_6\):Bi nanocrystals toward tunable photoluminescence	Liu, Ying; Rong, Ximing; Li, Mingze; Molokeev, Maxim S.; Zhao, Jing; Xia, Zhiguo	Angewandte Chemie, International Edition (2020) 59, (28) p. 11634-11640	10.516(3) 10.516(3) 10.516(3) 90. 90. 90.	7.4359 7.4359 7.4359 60.000 60.000 60.000	10.5160 10.5160 10.5160 90.000 90.000 90.000	293.00	0.101325		2020	10	
21476	1863107	F m -3 m	Cs2 Ag Tl Cl6	K2NaAlF6	Small-band-gap halide double perovskites	Slavney, Adam H.; Leppert, Linn; Saldivar Valdes, Abraham; Bartesaghi, Davide; Savenije, Tom J.; Neaton, Jeffrey B.; Karunadasa, Hemamala I.	Angewandte Chemie, International Edition (2018) 57, (39) p. 12765-12770	10.5595(5) 10.5595(5) 10.5595(5) 90 90 90	7.4667 7.4667 7.4667 60.000 60.000 60.000	10.5595 10.5595 10.5595 90.000 90.000 90.000	296.00	0.101325		2018	10	
32193	1914185	F m -3 m	Cs2 Na V Cl6	K2NaAlF6	Cs$_2$NaVCl$_6$: A Pb-free halide double perovskite with strong visible and near-infrared light absorption	Cao, Xiangrong; Kang, Lei; Guo, Shaoxing; Zhang, Minggang; Lin, Zheshuai; Gao, Jianhua	ACS Applied Materials & Interfaces (2019) 11, (42) p. 38648-38653	10.3497(14) 10.3497(14) 10.3497(14) 90.00 90.00 90.00	7.3183 7.3183 7.3183 60.000 60.000 60.000	10.3497 10.3497 10.3497 90.000 90.000 90.000	296.00	0.101325		2019	10	
36616		I 4/m m m	Cs2 Hg Pd Cl6	CsAuCl3	Darstellung und Kristallstruktur von Cs2HgPdCl6, eine Verzerrungsvariante der Chloroperowskite	Schroeder, L.; Keller, H.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1991) 603,  p. 69-76	7.432(4) 7.432(4) 10.874(7) 90. 90. 90.	7.4320 7.4320 7.5616 119.434 119.434 90.000	7.4320 7.4320 10.8740 90.000 90.000 90.000	293.00	0.101325		1991	10	
53945	2143957	I 4/m m m	Cs2 Hg Cu Cl6	CsAuCl3	Jahn-Teller distortion-stabilized halide double perovskites with unusual rock-salt-type ordering of divalent B-site cations	Ji, Guoqi; Xiao, Zewen	Chemistry of Materials (2022) 34, (18) p. 8207-8212	7.3732(3) 7.3732(3) 10.5806(4) 90 90 90	7.3732 7.3732 7.4276 119.758 119.758 90.000	7.3732 7.3732 10.5806 90.000 90.000 90.000	250.00	0.101325		2022	10	
59195		F m -3 m	Cs2 Na Bi Cl6	K2NaAlF6	Low-Temperature Crystal Growth of Cs2 Li Lu Cl6 - II and Cs2 K Sc Cl6 under Reducing Conditions and their Structural Refinement	Meyer, G.; Hwu, S.-J.; Corbett, J.D.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1986) 535,  p. 208-212	10.839(1) 10.839(1) 10.839(1) 90. 90. 90.	7.6643 7.6643 7.6643 60.000 60.000 60.000	10.8390 10.8390 10.8390 90.000 90.000 90.000	293.00	0.101325		1986	10	
59196		F m -3 m	Cs2 K Sc Cl6	K2NaAlF6	Low-Temperature Crystal Growth of Cs2 Li Lu Cl6 - II and Cs2 K Sc Cl6 under Reducing Conditions and their Structural Refinement	Meyer, G.; Hwu, S.-J.; Corbett, J.D.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1986) 535,  p. 208-212	10.873(3) 10.873(3) 10.873(3) 90. 90. 90.	7.6884 7.6884 7.6884 60.000 60.000 60.000	10.8730 10.8730 10.8730 90.000 90.000 90.000	293.00	0.101325		1986	10	
65731		F m -3 m	Cs2 Li Y Cl6	K2NaAlF6	Optical spectroscopic and structural properties of V3+ -doped fluoride, chloride, and bromide elpasolite lattices	Reber, C.; Guedel, H.U.; Meyer, G.; Schleid, T.; Daul, C.A.	Inorganic Chemistry (1989) 28,  p. 3249-3258	10.4857(5) 10.4857(5) 10.4857(5) 90. 90. 90.	7.4145 7.4145 7.4145 60.000 60.000 60.000	10.4857 10.4857 10.4857 90.000 90.000 90.000	293.00	0.101325		1989	10	
65732		F m -3 m	Cs2 Na Y Cl6	K2NaAlF6	Optical spectroscopic and structural properties of V3+ -doped fluoride, chloride, and bromide elpasolite lattices	Reber, C.; Guedel, H.U.; Meyer, G.; Schleid, T.; Daul, C.A.	Inorganic Chemistry (1989) 28,  p. 3249-3258	10.7396(7) 10.7396(7) 10.7396(7) 90. 90. 90.	7.5940 7.5940 7.5940 60.000 60.000 60.000	10.7396 10.7396 10.7396 90.000 90.000 90.000	293.00	0.101325		1989	10	
