CollectionCode	CcdcNo	HMS	StructuredFormula	StructureType	Title	Authors	Reference	CellParameter	ReducedCellParameter	StandardisedCellParameter	Temperature	Pressure	MineralName	PublicationYear	Quality	
65734		R -3 m H	Cs2 Li Sc Cl6	Cs2LiScCl6	Optical spectroscopic and structural properties of V3+ -doped fluoride, chloride, and bromide elpasolite lattices	Reber, C.; Guedel, H.U.; Meyer, G.; Schleid, T.; Daul, C.A.	Inorganic Chemistry (1989) 28,  p. 3249-3258	7.2965(6) 7.2965(6) 35.989(4) 90. 90. 120.	7.2965 7.2965 12.7145 73.325 73.325 60.000	7.2965 7.2965 35.9890 90.000 90.000 120.000	293.00	0.101325		1989	10	
65735		R -3 m H	Cs2 Li In Cl6	Cs2LiScCl6	Optical spectroscopic and structural properties of V3+ -doped fluoride, chloride, and bromide elpasolite lattices	Reber, C.; Guedel, H.U.; Meyer, G.; Schleid, T.; Daul, C.A.	Inorganic Chemistry (1989) 28,  p. 3249-3258	7.3184(4) 7.3184(4) 36.240(3) 90. 90. 120.	7.3184 7.3184 12.7976 73.386 73.386 60.000	7.3184 7.3184 36.2400 90.000 90.000 120.000	293.00	0.101325		1989	10	
67450		F m -3 m	Cs2 Na U Cl6	K2NaAlF6	Structure of dicaesium sodium uranium hexachloride	Spirlet, M.R.; Rebizant, J.; Fuger, J.; Schoebrechts, J.P.	Acta Crystallographica, Section C: Crystal Structure Communications (1988) 44,  p. 1300-1301	10.937(1) 10.937(1) 10.937(1) 90. 90. 90.	7.7336 7.7336 7.7336 60.000 60.000 60.000	10.9370 10.9370 10.9370 90.000 90.000 90.000	293.00	0.101325		1988	10	
84844		F m -3 m	Cs2 K (Tb Cl6)	K2NaAlF6	Crystal structure of Cs2 K Tb Cl6 and Cs2 K Eu Cl6 by powder X-ray diffraction	Villafuerte Castrejon, M.E.; Estrada, M.R.; Gomez-Lara, J.; Duque, J.; Pomes, R.	Journal of Solid State Chemistry (1997) 132,  p. 1-5	11.122(3) 11.122(3) 11.122(3) 90. 90. 90.	7.8644 7.8644 7.8644 60.000 60.000 60.000	11.1220 11.1220 11.1220 90.000 90.000 90.000	296.00	0.101325		1997	10	
84845		F m -3 m	Cs2 K (Eu Cl6)	K2NaAlF6	Crystal structure of Cs2 K Tb Cl6 and Cs2 K Eu Cl6 by powder X-ray diffraction	Villafuerte Castrejon, M.E.; Estrada, M.R.; Gomez-Lara, J.; Duque, J.; Pomes, R.	Journal of Solid State Chemistry (1997) 132,  p. 1-5	11.163(3) 11.163(3) 11.163(3) 90. 90. 90.	7.8934 7.8934 7.8934 60.000 60.000 60.000	11.1630 11.1630 11.1630 90.000 90.000 90.000	296.00	0.101325		1997	10	
85021		F m -3 m	Cs2 Na Ce Cl6	K2NaAlF6	Synthesis and X-ray powder diffraction study of the elpasolite Cs2 Na Ce Cl6	Acevedo, R.; Poblete, V.	Powder Diffraction (1995) 10, (4) p. 241-242	10.943(2) 10.943(2) 10.943(2) 90. 90. 90.	7.7379 7.7379 7.7379 60.000 60.000 60.000	10.9430 10.9430 10.9430 90.000 90.000 90.000	293.00	0.101325		1995	10	
113874		F m -3 m	Cs2 Li Bi Cl6	K2NaAlF6	Bismuth-based halide double perovskite Cs\(_2\)LiBiCl\(_6\). Crystal structure, luminescence, and stability	Sun, Yanming; Fernández-Carrión, Alberto José; Liu, Yunhui; Yin, Congling; Ming, Xing; Liu, Bo-Mei; Wang, Jing; Fu, Hui; Kuang, Xiaojun; Xing, Xianran	Chemistry of Materials (2021) 33, (15) p. 5905-5916	10.5844(1) 10.5844(1) 10.5844(1) 90. 90. 90.	7.4843 7.4843 7.4843 60.000 60.000 60.000	10.5844 10.5844 10.5844 90.000 90.000 90.000	293.00	0.101325		2021	10	
113875		F m -3 m	Cs2 Li Bi Cl6		Bismuth-based halide double perovskite Cs\(_2\)LiBiCl\(_6\). Crystal structure, luminescence, and stability	Sun, Yanming; Fernández-Carrión, Alberto José; Liu, Yunhui; Yin, Congling; Ming, Xing; Liu, Bo-Mei; Wang, Jing; Fu, Hui; Kuang, Xiaojun; Xing, Xianran	Chemistry of Materials (2021) 33, (15) p. 5905-5916	10.5844(1) 10.5844(1) 10.5844(1) 90. 90. 90.	7.4843 7.4843 7.4843 60.000 60.000 60.000	10.5844 10.5844 10.5844 90.000 90.000 90.000	293.00	0.101325		2021	10	
122930		F m -3 m	Cs2 Ag In Cl6	K2NaAlF6	Photoluminescence enhancement study in a Bi-doped Cs$_2$AgInCl$_6$ double perovskite by pressure and temperature-dependent self-trapped exciton emission	Dave, Kashyap; Huang, Wen-Tse; Leśniewski, Tadeusz; Lazarowska, Agata; Jankowski, Dawid; Mahlik, Sebastian; Liu, Ru-Shi	Dalton Transactions (2022) 51, (5) p. 2026-2032	10.48764(16) 10.48764(16) 10.48764(16) 90. 90. 90.	7.4159 7.4159 7.4159 60.000 60.000 60.000	10.4876 10.4876 10.4876 90.000 90.000 90.000	293.00	0.101325		2022	10	
122937		F m -3 m	Cs2 Ag Bi Cl6	K2NaAlF6	Photoluminescence enhancement study in a Bi-doped Cs$_2$AgInCl$_6$ double perovskite by pressure and temperature-dependent self-trapped exciton emission	Dave, Kashyap; Huang, Wen-Tse; Leśniewski, Tadeusz; Lazarowska, Agata; Jankowski, Dawid; Mahlik, Sebastian; Liu, Ru-Shi	Dalton Transactions (2022) 51, (5) p. 2026-2032	10.78584(21) 10.78584(21) 10.78584(21) 90. 90. 90.	7.6267 7.6267 7.6267 60.000 60.000 60.000	10.7858 10.7858 10.7858 90.000 90.000 90.000	293.00	0.101325		2022	10	
132718	1986198	F m -3 m	Cs2 Na In Cl6	K2NaAlF6	Bright blue and green luminescence of Sb(III) in double perovskite Cs$_2$MInCl$_6$ (M = Na, K) matrices	Noculak, Agnieszka; Morad, Viktoriia; McCall, Kyle M.; Yakunin, Sergii; Shynkarenko, Yevhen; Wörle, Michael; Kovalenko, Maksym V.	Chemistry of Materials (2020) 32, (12) p. 5118-5124	10.51410(10) 10.51410(10) 10.51410(10) 90 90 90	7.4346 7.4346 7.4346 60.000 60.000 60.000	10.5141 10.5141 10.5141 90.000 90.000 90.000	200.00	0.101325		2020	10	
139985	1982139	F m -3 m	Cs2 Ag Fe Cl6	K2NaAlF6	Engineered electronic structure and carrier dynamics in emerging Cs$_2$Ag$_x$Na$_{1–}$xFeCl$_6$ perovskite single crystals	Xian, Yeming; Yin, Hang; Bao, Yunkai; Xiao, Yejun; Yuan, Songyang; Rahman, Naveed Ur; Yuan, Yaxuan; Zhang, Yangyi; Xian, Yeming; Jin, Shengye; Li, Wenzhe; Fan, Jiandong	Journal of Physical Chemistry Letters (2020) 11, (22) p. 9535-9542	10.2023(4) 10.2023(4) 10.2023(4) 90 90 90	7.2141 7.2141 7.2141 60.000 60.000 60.000	10.2023 10.2023 10.2023 90.000 90.000 90.000	99.90	0.101325		2020	10	
139986	2001471	F m -3 m	Cs2 Na Fe Cl6	K2NaAlF6	Engineered electronic structure and carrier dynamics in emerging Cs$_2$Ag$_x$Na$_{1–}$xFeCl$_6$ perovskite single crystals	Xian, Yeming; Yin, Hang; Bao, Yunkai; Xiao, Yejun; Yuan, Songyang; Rahman, Naveed Ur; Yuan, Yaxuan; Zhang, Yangyi; Xian, Yeming; Jin, Shengye; Li, Wenzhe; Fan, Jiandong	Journal of Physical Chemistry Letters (2020) 11, (22) p. 9535-9542	10.2679(2) 10.2679(2) 10.2679(2) 90 90 90	7.2605 7.2605 7.2605 60.000 60.000 60.000	10.2679 10.2679 10.2679 90.000 90.000 90.000	100.00	0.101325		2020	10	
175159	2335910	R -3 m H	Cs2 Na Rh Cl6	Cs2LiScCl6	Exploring the electronic dimensionality of ternary and quaternary rhodium halides	Liu, David; Holzapfel, Noah P.; Milder, Alexander; Woodward, Patrick M.	Chemistry of Materials (2024) 36, (5) p. 2450-2460	7.26932(4) 7.26932(4) 36.3781(3) 90 90 120	7.2693 7.2693 12.8318 73.546 73.546 60.000	7.2693 7.2693 36.3781 90.000 90.000 120.000	293.00	0.101325		2024	10	
175161	2335911	R -3 m H	Cs2 Ag Rh Cl6	Cs2LiScCl6	Exploring the electronic dimensionality of ternary and quaternary rhodium halides	Liu, David; Holzapfel, Noah P.; Milder, Alexander; Woodward, Patrick M.	Chemistry of Materials (2024) 36, (5) p. 2450-2460	7.23116(4) 7.23116(4) 36.3344(3) 90 90 120	7.2311 7.2311 12.8108 73.607 73.607 60.000	7.2312 7.2312 36.3344 90.000 90.000 120.000	293.00	0.101325		2024	10	
175767	1878797	F m -3 m	Cs2 Na In Cl6	K2NaAlF6	Efficient and stable emission of warm-white light from lead-free halide double perovskites	Luo, Jiajun; Wang, Xiaoming; Li, Shunran; Liu, Jing; Guo, Yueming; Niu, Guangda; Yao, Ling; Fu, Yahao; Gao, Linang; Dong, Qingshun; Zhao, Chunyi; Leng, Meiying; Ma, Fusheng; Ma, Fusheng; Liang, Wenxi; Wang, Liduo; Jin, Shengye; Han, Junbo; Zhang, Lijun; Etheridge, Joanne; Wang, Jianbo; Yan, Yanfa; Sargent, Edward H.; Tang, Jiang	Nature (London, United Kingdom) (2018) 563,  p. 541-545	10.509(6) 10.509(6) 10.509(6) 90 90 90	7.4310 7.4310 7.4310 60.000 60.000 60.000	10.5090 10.5090 10.5090 90.000 90.000 90.000	304.50	0.101325		2018	10	
175779	2043341	F m -3 m	Cs2 Ag In Cl6	K2NaAlF6	Manipulation of parity and polarization through structural distortion in light-emitting halide double perovskites	Appadurai, Tamilselvan; Kashikar, Ravi; Sikarwar, Poonam; Antharjanam, Sudhadevi; Nanda, Birabar Ranjit Kumar; Chandiran, Aravind Kumar	Communications Materials (2021) 2, (1)  Article ID 68 (p. 1-16)	10.482(4) 10.482(4) 10.482(4) 90 90 90	7.4119 7.4119 7.4119 60.000 60.000 60.000	10.4820 10.4820 10.4820 90.000 90.000 90.000	200.00	0.101325		2021	10	
175780	2043340	F m -3 m	Cs2 Ag Sb Cl6	K2NaAlF6	Manipulation of parity and polarization through structural distortion in light-emitting halide double perovskites	Appadurai, Tamilselvan; Kashikar, Ravi; Sikarwar, Poonam; Antharjanam, Sudhadevi; Nanda, Birabar Ranjit Kumar; Chandiran, Aravind Kumar	Communications Materials (2021) 2, (1)  Article ID 68 (p. 1-16)	10.6802(5) 10.6802(5) 10.6802(5) 90 90 90	7.5520 7.5520 7.5520 60.000 60.000 60.000	10.6802 10.6802 10.6802 90.000 90.000 90.000	200.00	0.101325		2021	10	
175783	2043339	F m -3 m	Cs2 Ag Bi Cl6	K2NaAlF6	Manipulation of parity and polarization through structural distortion in light-emitting halide double perovskites	Appadurai, Tamilselvan; Kashikar, Ravi; Sikarwar, Poonam; Antharjanam, Sudhadevi; Nanda, Birabar Ranjit Kumar; Chandiran, Aravind Kumar	Communications Materials (2021) 2, (1)  Article ID 68 (p. 1-16)	10.7551(7) 10.7551(7) 10.7551(7) 90 90 90	7.6050 7.6050 7.6050 60.000 60.000 60.000	10.7551 10.7551 10.7551 90.000 90.000 90.000	200.00	0.101325		2021	10	
175888	1982139	F m -3 m	Cs2 Ag Fe Cl6	K2NaAlF6	An emerging lead-free double-perovskite C$_2$AgFeCl$_6$: in single crystal	Yin, Hang; Zhang, Yeming; Chen, Weijan; Wen, Xiaoming; Rahman, Naveed Ur; Long, Yi; Jia, Baohua; Fan, Jiandong; Li, Wenzhe	Advanced Functional Materials (2020) 30, (43)  Article ID 2002225 (p. 1-11)	10.2023(4) 10.2023(4) 10.2023(4) 90 90 90	7.2141 7.2141 7.2141 60.000 60.000 60.000	10.2023 10.2023 10.2023 90.000 90.000 90.000	99.90	0.101325		2020	10	
175889	1982141	F m -3 m	Cs2 Ag In Cl6	K2NaAlF6	An emerging lead-free double-perovskite C$_2$AgFeCl$_6$: in single crystal	Yin, Hang; Zhang, Yeming; Chen, Weijan; Wen, Xiaoming; Rahman, Naveed Ur; Long, Yi; Jia, Baohua; Fan, Jiandong; Li, Wenzhe	Advanced Functional Materials (2020) 30, (43)  Article ID 2002225 (p. 1-11)	10.4609(3) 10.4609(3) 10.4609(3) 90 90 90	7.3970 7.3970 7.3970 60.000 60.000 60.000	10.4609 10.4609 10.4609 90.000 90.000 90.000	100.00	0.101325		2020	10	
176720		F m -3 m	Cs2 Na Bi Cl6	K2NaAlF6	Unveiling temperature-induced structural phase transition and luminescence in Mn\(^{2+}\)-doped Cs\(_2\)NaBiCl\(_6\) double perovskite	Banerjee, Srijita; Saikia, Sajid; Molokeev, Maxim S.; Nag, Angshuman	Chemistry of Materials (2024) 36, (9) p. 4750-4757	10.83284(15) 10.83284(15) 10.83284(15) 90. 90. 90.	7.6600 7.6600 7.6600 60.000 60.000 60.000	10.8328 10.8328 10.8328 90.000 90.000 90.000	300.00	0.101325		2024	10	
176721		F m -3 m	Cs2 Na Bi Cl6	K2NaAlF6	Unveiling temperature-induced structural phase transition and luminescence in Mn\(^{2+}\)-doped Cs\(_2\)NaBiCl\(_6\) double perovskite	Banerjee, Srijita; Saikia, Sajid; Molokeev, Maxim S.; Nag, Angshuman	Chemistry of Materials (2024) 36, (9) p. 4750-4757	10.81866(15) 10.81866(15) 10.81866(15) 90. 90. 90.	7.6499 7.6499 7.6499 60.000 60.000 60.000	10.8187 10.8187 10.8187 90.000 90.000 90.000	250.00	0.101325		2024	10	
176722		F m -3 m	Cs2 Na Bi Cl6	K2NaAlF6	Unveiling temperature-induced structural phase transition and luminescence in Mn\(^{2+}\)-doped Cs\(_2\)NaBiCl\(_6\) double perovskite	Banerjee, Srijita; Saikia, Sajid; Molokeev, Maxim S.; Nag, Angshuman	Chemistry of Materials (2024) 36, (9) p. 4750-4757	10.80168(15) 10.80168(15) 10.80168(15) 90. 90. 90.	7.6379 7.6379 7.6379 60.000 60.000 60.000	10.8017 10.8017 10.8017 90.000 90.000 90.000	200.00	0.101325		2024	10	
176723		F m -3 m	Cs2 Na Bi Cl6	K2NaAlF6	Unveiling temperature-induced structural phase transition and luminescence in Mn\(^{2+}\)-doped Cs\(_2\)NaBiCl\(_6\) double perovskite	Banerjee, Srijita; Saikia, Sajid; Molokeev, Maxim S.; Nag, Angshuman	Chemistry of Materials (2024) 36, (9) p. 4750-4757	10.78538(13) 10.78538(13) 10.78538(13) 90. 90. 90.	7.6264 7.6264 7.6264 60.000 60.000 60.000	10.7854 10.7854 10.7854 90.000 90.000 90.000	150.00	0.101325		2024	10	
176724		F m -3 m	Cs2 Na Bi Cl6	K2NaAlF6	Unveiling temperature-induced structural phase transition and luminescence in Mn\(^{2+}\)-doped Cs\(_2\)NaBiCl\(_6\) double perovskite	Banerjee, Srijita; Saikia, Sajid; Molokeev, Maxim S.; Nag, Angshuman	Chemistry of Materials (2024) 36, (9) p. 4750-4757	10.78202(13) 10.78202(13) 10.78202(13) 90. 90. 90.	7.6240 7.6240 7.6240 60.000 60.000 60.000	10.7820 10.7820 10.7820 90.000 90.000 90.000	140.00	0.101325		2024	10	
176725		F m -3 m	Cs2 Na Bi Cl6	K2NaAlF6	Unveiling temperature-induced structural phase transition and luminescence in Mn\(^{2+}\)-doped Cs\(_2\)NaBiCl\(_6\) double perovskite	Banerjee, Srijita; Saikia, Sajid; Molokeev, Maxim S.; Nag, Angshuman	Chemistry of Materials (2024) 36, (9) p. 4750-4757	10.77893(12) 10.77893(12) 10.77893(12) 90. 90. 90.	7.6219 7.6219 7.6219 60.000 60.000 60.000	10.7789 10.7789 10.7789 90.000 90.000 90.000	130.00	0.101325		2024	10	
176726		F m -3 m	Cs2 Na Bi Cl6	K2NaAlF6	Unveiling temperature-induced structural phase transition and luminescence in Mn\(^{2+}\)-doped Cs\(_2\)NaBiCl\(_6\) double perovskite	Banerjee, Srijita; Saikia, Sajid; Molokeev, Maxim S.; Nag, Angshuman	Chemistry of Materials (2024) 36, (9) p. 4750-4757	10.77555(14) 10.77555(14) 10.77555(14) 90. 90. 90.	7.6195 7.6195 7.6195 60.000 60.000 60.000	10.7755 10.7755 10.7755 90.000 90.000 90.000	120.00	0.101325		2024	10	
176727		F m -3 m	Cs2 Na Bi Cl6	K2NaAlF6	Unveiling temperature-induced structural phase transition and luminescence in Mn\(^{2+}\)-doped Cs\(_2\)NaBiCl\(_6\) double perovskite	Banerjee, Srijita; Saikia, Sajid; Molokeev, Maxim S.; Nag, Angshuman	Chemistry of Materials (2024) 36, (9) p. 4750-4757	10.7711(2) 10.7711(2) 10.7711(2) 90. 90. 90.	7.6163 7.6163 7.6163 60.000 60.000 60.000	10.7711 10.7711 10.7711 90.000 90.000 90.000	110.00	0.101325		2024	10	
178332	2001470	F m -3 m	Cs2 Na Fe Cl6	K2NaAlF6	Regulation of the order–disorder phase transition in a Cs$_2$NaFeCl$_6$ double perovskite towards reversible thermochromic application	Li, Wenzhe; Rahman, Naveed Ur; Xian, Yeming; Yin, Hang; Bao, Yunkai; Long, Yi; Yuan, Songyang; Zhang, Yangyi; Yuan, Yaxuan; Fan, Jiandong	Journal of Semiconductors (2021) 42, (7)  Article ID 072202	10.3028(5) 10.3028(5) 10.3028(5) 90 90 90	7.2852 7.2852 7.2852 60.000 60.000 60.000	10.3028 10.3028 10.3028 90.000 90.000 90.000	200.04	0.101325		2021	10	
178333	2001473	F m -3 m	Cs2 Na Fe Cl6	K2NaAlF6	Regulation of the order–disorder phase transition in a Cs$_2$NaFeCl$_6$ double perovskite towards reversible thermochromic application	Li, Wenzhe; Rahman, Naveed Ur; Xian, Yeming; Yin, Hang; Bao, Yunkai; Long, Yi; Yuan, Songyang; Zhang, Yangyi; Yuan, Yaxuan; Fan, Jiandong	Journal of Semiconductors (2021) 42, (7)  Article ID 072202	10.3270(6) 10.3270(6) 10.3270(6) 90 90 90	7.3023 7.3023 7.3023 60.000 60.000 60.000	10.3270 10.3270 10.3270 90.000 90.000 90.000	299.97	0.101325		2021	10	
178334	2001471	F m -3 m	Cs2 Na Fe Cl6	K2NaAlF6	Regulation of the order–disorder phase transition in a Cs$_2$NaFeCl$_6$ double perovskite towards reversible thermochromic application	Li, Wenzhe; Rahman, Naveed Ur; Xian, Yeming; Yin, Hang; Bao, Yunkai; Long, Yi; Yuan, Songyang; Zhang, Yangyi; Yuan, Yaxuan; Fan, Jiandong	Journal of Semiconductors (2021) 42, (7)  Article ID 072202	10.2679(2) 10.2679(2) 10.2679(2) 90 90 90	7.2605 7.2605 7.2605 60.000 60.000 60.000	10.2679 10.2679 10.2679 90.000 90.000 90.000	100.00	0.101325		2021	10	
178335	2041648	F m -3 m	Cs2 Na Fe Cl6	K2NaAlF6	Regulation of the order–disorder phase transition in a Cs$_2$NaFeCl$_6$ double perovskite towards reversible thermochromic application	Li, Wenzhe; Rahman, Naveed Ur; Xian, Yeming; Yin, Hang; Bao, Yunkai; Long, Yi; Yuan, Songyang; Zhang, Yangyi; Yuan, Yaxuan; Fan, Jiandong	Journal of Semiconductors (2021) 42, (7)  Article ID 072202	10.2591(2) 10.2591(2) 10.2591(2) 90 90 90	7.2543 7.2543 7.2543 60.000 60.000 60.000	10.2591 10.2591 10.2591 90.000 90.000 90.000	79.90	0.101325		2021	10	
178336	2041647	F m -3 m	Cs2 Na Fe Cl6	K2NaAlF6	Regulation of the order–disorder phase transition in a Cs$_2$NaFeCl$_6$ double perovskite towards reversible thermochromic application	Li, Wenzhe; Rahman, Naveed Ur; Xian, Yeming; Yin, Hang; Bao, Yunkai; Long, Yi; Yuan, Songyang; Zhang, Yangyi; Yuan, Yaxuan; Fan, Jiandong	Journal of Semiconductors (2021) 42, (7)  Article ID 072202	10.26506(14) 10.26506(14) 10.26506(14) 90 90 90	7.2585 7.2585 7.2585 60.000 60.000 60.000	10.2651 10.2651 10.2651 90.000 90.000 90.000	90.00	0.101325		2021	10	
178337	2001472	F m -3 m	Cs2 Na Fe Cl6	K2NaAlF6	Regulation of the order–disorder phase transition in a Cs$_2$NaFeCl$_6$ double perovskite towards reversible thermochromic application	Li, Wenzhe; Rahman, Naveed Ur; Xian, Yeming; Yin, Hang; Bao, Yunkai; Long, Yi; Yuan, Songyang; Zhang, Yangyi; Yuan, Yaxuan; Fan, Jiandong	Journal of Semiconductors (2021) 42, (7)  Article ID 072202	10.3622(4) 10.3622(4) 10.3622(4) 90 90 90	7.3272 7.3272 7.3272 60.000 60.000 60.000	10.3622 10.3622 10.3622 90.000 90.000 90.000	399.98	0.101325		2021	10	
205365	1544700	F m -3 m	Cs2 Ag Sb Cl6	K2NaAlF6	Designing indirect–direct bandgap transitions in double perovskites	Tran, T. Thao; Panella, Jessica R.; Chamorro, Juan R.; Morey, Jennifer R.; McQueen, Tyrel M.	Materials Horizons (2017) 4, (4) p. 688-693	10.664(10) 10.664(10) 10.664(10) 90.00 90.00 90.00	7.5406 7.5406 7.5406 60.000 60.000 60.000	10.6640 10.6640 10.6640 90.000 90.000 90.000	213.00	0.101325		2017	10	
205366	1544701	F m -3 m	Cs2 Ag In Cl6	K2NaAlF6	Designing indirect–direct bandgap transitions in double perovskites	Tran, T. Thao; Panella, Jessica R.; Chamorro, Juan R.; Morey, Jennifer R.; McQueen, Tyrel M.	Materials Horizons (2017) 4, (4) p. 688-693	10.469(11) 10.469(11) 10.469(11) 90.00 90.00 90.00	7.4027 7.4027 7.4027 60.000 60.000 60.000	10.4690 10.4690 10.4690 90.000 90.000 90.000	213.00	0.101325		2017	10	
207012	2054287	F m -3 m	Cs2 Na Sc Cl6	K2NaAlF6	All-inorganic rare-earth halide double perovskite single crystals with highly efficient photoluminescence	Zhang, Ruiling; Wang, Zhongyi; Xu, Xin; Mao, Xin; Xiong, Jin; Yang, Yang; Han, Keli	Advanced Optical Materials (2021) 9, (19)  Article ID 2100689 (p. 1-7)	10.4904(3) 10.4904(3) 10.4904(3) 90 90 90	7.4178 7.4178 7.4178 60.000 60.000 60.000	10.4904 10.4904 10.4904 90.000 90.000 90.000	283.22	0.101325		2021	10	
207019	2060830	F m -3 m	Cs2 Na Fe Cl6	K2NaAlF6	Remarkable thermochromism in the double perovskite Cs$_2$NaFeCl$_6$	Ji, Fuxiang; Klarbring, Johan; Zhang, Bin; Wang, Feng; Wang, Linqin; Miao, Xiaohe; NIng, Weihua; Zhang, Muyi; Cai, Xinyi; Bakhit, Babak; Magnuson, Martin; Ren, Xiaoming; Sun, Licheng; Fahlman, Mats; Buyanova, Irina A.; Chen, Weimin M.; Simak, Sergei I.; Abrikosov, Igor A.; Gao, Feng	Advanced Optical Materials (2023) 12, (8)  Article ID 2301102 (p. 1-9)	10.3537(8) 10.3537(8) 10.3537(8) 90.00 90.00 90.00	7.3212 7.3212 7.3212 60.000 60.000 60.000	10.3537 10.3537 10.3537 90.000 90.000 90.000	373.00	0.101325		2023	10	
207020	2060832	F m -3 m	Cs2 Na Fe Cl6	K2NaAlF6	Remarkable thermochromism in the double perovskite Cs$_2$NaFeCl$_6$	Ji, Fuxiang; Klarbring, Johan; Zhang, Bin; Wang, Feng; Wang, Linqin; Miao, Xiaohe; NIng, Weihua; Zhang, Muyi; Cai, Xinyi; Bakhit, Babak; Magnuson, Martin; Ren, Xiaoming; Sun, Licheng; Fahlman, Mats; Buyanova, Irina A.; Chen, Weimin M.; Simak, Sergei I.; Abrikosov, Igor A.; Gao, Feng	Advanced Optical Materials (2023) 12, (8)  Article ID 2301102 (p. 1-9)	10.3719(10) 10.3719(10) 10.3719(10) 90.00 90.00 90.00	7.3340 7.3340 7.3340 60.000 60.000 60.000	10.3719 10.3719 10.3719 90.000 90.000 90.000	423.00	0.101325		2023	10	
207021	2060836	F m -3 m	Cs2 Na Fe Cl6	K2NaAlF6	Remarkable thermochromism in the double perovskite Cs$_2$NaFeCl$_6$	Ji, Fuxiang; Klarbring, Johan; Zhang, Bin; Wang, Feng; Wang, Linqin; Miao, Xiaohe; NIng, Weihua; Zhang, Muyi; Cai, Xinyi; Bakhit, Babak; Magnuson, Martin; Ren, Xiaoming; Sun, Licheng; Fahlman, Mats; Buyanova, Irina A.; Chen, Weimin M.; Simak, Sergei I.; Abrikosov, Igor A.; Gao, Feng	Advanced Optical Materials (2023) 12, (8)  Article ID 2301102 (p. 1-9)	10.3275(7) 10.3275(7) 10.3275(7) 90.00 90.00 90.00	7.3026 7.3026 7.3026 60.000 60.000 60.000	10.3275 10.3275 10.3275 90.000 90.000 90.000	298.00	0.101325		2023	10	
207022	2060833	F m -3 m	Cs2 Na Fe Cl6	K2NaAlF6	Remarkable thermochromism in the double perovskite Cs$_2$NaFeCl$_6$	Ji, Fuxiang; Klarbring, Johan; Zhang, Bin; Wang, Feng; Wang, Linqin; Miao, Xiaohe; NIng, Weihua; Zhang, Muyi; Cai, Xinyi; Bakhit, Babak; Magnuson, Martin; Ren, Xiaoming; Sun, Licheng; Fahlman, Mats; Buyanova, Irina A.; Chen, Weimin M.; Simak, Sergei I.; Abrikosov, Igor A.; Gao, Feng	Advanced Optical Materials (2023) 12, (8)  Article ID 2301102 (p. 1-9)	10.3329(9) 10.3329(9) 10.3329(9) 90.00 90.00 90.00	7.3065 7.3065 7.3065 60.000 60.000 60.000	10.3329 10.3329 10.3329 90.000 90.000 90.000	298.00	0.101325		2023	10	
207023	2060835	F m -3 m	Cs2 Na Fe Cl6	K2NaAlF6	Remarkable thermochromism in the double perovskite Cs$_2$NaFeCl$_6$	Ji, Fuxiang; Klarbring, Johan; Zhang, Bin; Wang, Feng; Wang, Linqin; Miao, Xiaohe; NIng, Weihua; Zhang, Muyi; Cai, Xinyi; Bakhit, Babak; Magnuson, Martin; Ren, Xiaoming; Sun, Licheng; Fahlman, Mats; Buyanova, Irina A.; Chen, Weimin M.; Simak, Sergei I.; Abrikosov, Igor A.; Gao, Feng	Advanced Optical Materials (2023) 12, (8)  Article ID 2301102 (p. 1-9)	10.3492(7) 10.3492(7) 10.3492(7) 90.00 90.00 90.00	7.3180 7.3180 7.3180 60.000 60.000 60.000	10.3492 10.3492 10.3492 90.000 90.000 90.000	348.00	0.101325		2023	10	
207024	2060834	F m -3 m	Cs2 Na Fe Cl6	K2NaAlF6	Remarkable thermochromism in the double perovskite Cs$_2$NaFeCl$_6$	Ji, Fuxiang; Klarbring, Johan; Zhang, Bin; Wang, Feng; Wang, Linqin; Miao, Xiaohe; NIng, Weihua; Zhang, Muyi; Cai, Xinyi; Bakhit, Babak; Magnuson, Martin; Ren, Xiaoming; Sun, Licheng; Fahlman, Mats; Buyanova, Irina A.; Chen, Weimin M.; Simak, Sergei I.; Abrikosov, Igor A.; Gao, Feng	Advanced Optical Materials (2023) 12, (8)  Article ID 2301102 (p. 1-9)	10.3392(9) 10.3392(9) 10.3392(9) 90.00 90.00 90.00	7.3109 7.3109 7.3109 60.000 60.000 60.000	10.3392 10.3392 10.3392 90.000 90.000 90.000	323.00	0.101325		2023	10	
207025	2060831	F m -3 m	Cs2 Na Fe Cl6	K2NaAlF6	Remarkable thermochromism in the double perovskite Cs$_2$NaFeCl$_6$	Ji, Fuxiang; Klarbring, Johan; Zhang, Bin; Wang, Feng; Wang, Linqin; Miao, Xiaohe; NIng, Weihua; Zhang, Muyi; Cai, Xinyi; Bakhit, Babak; Magnuson, Martin; Ren, Xiaoming; Sun, Licheng; Fahlman, Mats; Buyanova, Irina A.; Chen, Weimin M.; Simak, Sergei I.; Abrikosov, Igor A.; Gao, Feng	Advanced Optical Materials (2023) 12, (8)  Article ID 2301102 (p. 1-9)	10.3639(6) 10.3639(6) 10.3639(6) 90.00 90.00 90.00	7.3284 7.3284 7.3284 60.000 60.000 60.000	10.3639 10.3639 10.3639 90.000 90.000 90.000	398.00	0.101325		2023	10	
