,chemsys,nsites,E_MACE-MPA-0,E_MACE-MP-0b3,E_MatPES-r2SCAN,E_SevenNet
mp-1225895,Cs-Rb,2,-1.7770325906581372,-1.8061354331411454,-38.60322189331055,-1.7913459539413452
mp-1185559,Cs-Rb,4,-3.707905590786334,-3.6799924220422464,-66.03839111328125,-3.6809353828430176
mp-1183945,Cs-Rb,4,-3.7742726804152897,-3.7734116833345754,-66.03839111328125,-3.6809353828430176
mp-1184016,Cs-Rb,4,-3.7728188814409496,-3.7763946482470163,-66.03839111328125,-3.6809353828430176
mp-862689,Cs-Rb,8,-7.033726919375797,-7.342956015784374,-176.74900817871094,-6.968897342681885
mp-1183963,Cs-Rb,8,-7.518119587071777,-7.557053832242269,-132.0767822265625,-7.361871242523193
mp-315,F-Pb,3,-14.648025825936323,-14.628582094239368,-70.15918731689453,-14.645509719848633
mp-341,F-Pb,5,-20.463815137871688,-20.532298704040503,-78.65841674804688,-20.452770233154297
mp-685150,F-Pb,6,-29.277886077645398,-29.24230255286586,-140.30393981933594,-29.27201271057129
mp-2511,F-Pb,12,-58.30947288542661,-58.24905089190304,-280.70758056640625,-58.337745666503906
mp-20652,F-Pb,16,-71.16758274914957,-71.11509379259557,-298.8567810058594,-71.1874008178711
mp-1173571,F-Pb,26,-121.10294777826414,-121.19866233000263,-671.483154296875,-121.83340454101562
mp-1206817,Cl-Tl-V,10,-44.91081425473726,-44.956796058698544,-185.4749298095703,-44.92455291748047
mp-1111686,F-Li-Ni,10,-42.374111999850655,-43.239151149995976,-63.20340347290039,-42.78793716430664
mp-758501,F-Li-Ni,10,-44.909842295533906,-45.11393963732821,-73.29808044433594,-45.46345901489258
mp-35759,F-Li-Ni,14,-64.67902739005616,-64.42883799360389,-96.92471313476562,-64.96791076660156
mp-1211465,F-Li-Ni,40,-177.10735706730992,-178.1378249290596,-260.2481384277344,-177.2244415283203
mp-978034,Rb-Sm,4,-5.2030383901696124,-5.1870248710452165,-77.14460754394531,-5.208869934082031
mp-1186874,Rb-Sm,4,-5.193757969365762,-5.193004350900513,-77.15098571777344,-5.198311805725098
mp-974816,Rb-Sm,4,-5.1590040126096826,-5.111912209095816,-77.19852447509766,-5.082660675048828
mp-1703,Yb-Zn,2,-3.436793611810328,-3.4109193587396085,-45.176029205322266,-3.460902214050293
mp-11577,Yb-Zn,2,-3.0192168025492925,-2.9735884018987777,-44.6143913269043,-2.961587905883789
mp-657,Yb-Zn,6,-10.292582652451552,-10.25272423252382,-109.26599884033203,-10.306615829467773
mp-1187815,Yb-Zn,8,-12.662402975542639,-12.618820230248419,-126.90904998779297,-12.674488067626953
mp-1104142,Yb-Zn,14,-22.60644315302481,-22.606253013673648,-209.5516357421875,-22.859527587890625
mp-568437,Yb-Zn,19,-28.4420896356267,-28.495068980081626,-226.79525756835938,-28.554523468017578
mp-864767,Yb-Zn,24,-35.23433363085789,-35.23694292724042,-271.50225830078125,-35.21236801147461
mp-1194047,Yb-Zn,28,-40.18952777299287,-40.31820921027333,-306.7607116699219,-39.8527946472168
mp-1209585,Yb-Zn,30,-41.93013149228734,-41.88086719854336,-482.38287353515625,-42.840267181396484
mp-1204417,Yb-Zn,38,-56.808051486688285,-56.90985950828813,-453.59271240234375,-57.08185958862305
mp-1202230,Yb-Zn,80,-121.81128835345308,-122.99810908623574,-1052.3192138671875,-121.73320007324219
mp-1204970,Yb-Zn,142,-226.36414888095385,-227.26079482281483,-2003.6558837890625,-226.67581176757812
mp-11475,Hg-Tm,2,-5.728435320220116,-5.71347670216827,-85.95600128173828,-5.7236480712890625
mp-1187636,Hg-Tm,4,-14.327466263508052,-14.359547693691907,-156.4149932861328,-14.36319637298584
mp-865327,Hg-Tm,8,-13.240374872522308,-13.280642800446756,-370.53619384765625,-13.280168533325195
mp-1192894,Co-Cs-I,28,-86.16129964715931,-85.87614498389974,-678.1932373046875,-85.993408203125
mp-569323,Co-Cs-I,36,-108.51639691582974,-108.22750579698055,-891.0426635742188,-108.1485595703125
mp-14653,Ag-F-Sb,15,-64.35395611738792,-64.25797966516357,-143.85260009765625,-64.21214294433594
mp-3414,Ag-F-Sb,32,-138.10919875970262,-137.61937329203698,-333.4895324707031,-138.0955352783203
mp-1195261,Ag-F-Sb,62,-268.20290494816186,-267.2048978683442,-622.2334594726562,-267.9553527832031
mp-1182129,Be-F-Pb,24,-127.41521290490218,-127.15638971010662,-364.253662109375,-127.19120788574219
mp-672214,Be-F-Pb,24,-126.79896556587906,-126.70433153716675,-363.8927307128906,-126.75904846191406
mp-569807,Br-Rb-Ti,10,-41.16740884390177,-41.17158823133776,-149.1613006591797,-41.20937728881836
mp-569348,Br-Ga-Tl,48,-139.17641083395878,-138.881376503089,-990.5414428710938,-139.06634521484375
mp-1205355,Br-Mo,8,-36.03063727372569,-36.20881707919486,-137.34927368164062,-36.0645637512207
mp-23312,Br-Mo,16,-72.01801492936727,-72.25180340116796,-274.8435363769531,-72.03123474121094
mp-29555,Br-Mo,36,-193.98818857568318,-193.81629028518532,-657.724365234375,-193.78057861328125
mp-1186169,Na-Pr,4,-14.755319295449764,-14.721512058611825,-96.33375549316406,-14.740924835205078
mp-1186070,Na-Pr,4,-7.478411783645484,-7.552258330295009,-40.82559585571289,-7.545717716217041
mp-1186034,Ag-Na,4,-6.754683272222613,-6.796316820741007,-31.811567306518555,-6.804145812988281
mp-1186100,Ag-Na,4,-9.797165203165779,-9.83311966640157,-67.43339538574219,-9.791756629943848
mp-1186017,Ag-Na,4,-6.759222162048305,-6.798260829476299,-31.834087371826172,-6.819955348968506
mp-973174,Ag-Na,4,-9.831672025838163,-9.848542471619322,-67.46263885498047,-9.8431396484375
mp-30352,Ag-Na,6,-14.562274807209539,-14.659699615318624,-92.77650451660156,-14.51015853881836
mp-1186033,Ag-Na,8,-13.577107371356247,-13.601833182758071,-63.65781784057617,-13.652050018310547
mp-1210281,Ag-Na,10,-14.429319164212329,-14.492071238050876,-68.35655212402344,-14.292309761047363
mp-31012,Br-K-Nb,28,-127.19615831519184,-127.17060235923768,-447.1090087890625,-127.19461059570312
mp-714973,Br-K-Nb,28,-127.22050575392905,-127.15769279744953,-447.123046875,-127.25221252441406
mp-3980,F-Li-Sb,8,-37.65734260515115,-37.500098430833276,-68.74823760986328,-37.59266662597656
mp-1211789,F-Li-Sb,10,-46.52470887016001,-46.17801100372458,-78.00828552246094,-46.4658203125
mp-1237474,F-Li-Sb,10,-46.74700970799823,-46.840592367534455,-79.2326889038086,-46.860694885253906
mp-1110577,F-Li-Sb,10,-45.02664490209424,-45.1010417269595,-76.85653686523438,-45.000762939453125
mp-1190441,F-Li-Sb,24,-115.69453199864495,-115.49211269719802,-228.2098388671875,-115.58921813964844
mp-1195657,F-Li-Sb,40,-192.69943140575478,-192.24353509864682,-408.7333984375,-192.60403442382812
mp-760014,F-Li-Sb,96,-456.6969633615486,-455.9598857969599,-906.0219116210938,-456.1375732421875
mp-2090,Co-Fe,2,-15.70622797848512,-15.416391785046978,-28.033851623535156,-15.579344749450684
mp-1225016,Co-Fe,2,-15.597624961328435,-15.405445736555848,-27.77012825012207,-15.548636436462402
mp-1007852,Co-Fe,4,-29.698726628523943,-29.56033791751951,-54.04005813598633,-29.720373153686523
mp-601820,Co-Fe,4,-32.62408151155531,-32.1012057892264,-56.836700439453125,-32.650848388671875
mp-1225083,Co-Fe,4,-29.673032419790104,-29.452038474240027,-53.95768737792969,-29.250045776367188
mp-1084832,Co-Fe,8,-64.05185383173568,-62.93336258220385,-112.89701080322266,-63.78750991821289
mp-1080603,Co-Fe,8,-66.45988676095104,-65.43210193817944,-114.46700286865234,-66.40133666992188
mp-1096987,Co-Fe,10,-66.27761247050893,-66.41640552320342,-127.39894104003906,-66.3121337890625
mp-18695,Co-Fe,16,-134.24724120428408,-131.84873026261764,-229.75636291503906,-133.28863525390625
mp-641526,Co-Fe,16,-131.7323645434964,-129.65258837554086,-228.13087463378906,-131.45584106445312
mp-601842,Co-Fe,16,-126.89571615673833,-124.66392811305477,-225.03990173339844,-125.95196533203125
mp-554601,Cu-F-Rb,5,-21.039980926747333,-21.032810931944198,-45.874305725097656,-21.05786895751953
mp-1025177,Cu-F-Rb,7,-29.379541862932996,-29.41305629904396,-68.8424301147461,-29.437902450561523
mp-1206438,Cu-F-Rb,9,-35.319472273720365,-35.14838585585353,-77.63128662109375,-35.33966827392578
mp-8858,Cu-F-Rb,10,-42.19121998635739,-42.17850029306662,-91.82554626464844,-42.19768524169922
mp-27761,F-Li-Th,44,-249.92609291701513,-249.69489368553855,-566.1196899414062,-249.58078002929688
mp-1196169,F-Li-Th,56,-363.56863509714054,-363.18979906740657,-961.4674072265625,-363.46063232421875
mp-27176,Cl-Mn-Na,10,-45.70207372544705,-45.7575487863901,-91.03490447998047,-45.688316345214844
mp-27126,Cl-Mn-Na,13,-61.88374288426166,-61.918624332609966,-122.93264770507812,-61.91898727416992
mp-27280,Cl-Mn-Na,14,-59.25694578218295,-59.257036105781395,-118.63507843017578,-59.3436279296875
mp-27125,Cl-Mn-Na,15,-56.85748575841964,-56.86140169191235,-114.5783462524414,-56.883750915527344
mp-30297,F-Sr-V,56,-335.29573026273414,-334.77175992437884,-564.0633544921875,-334.90411376953125
mp-1208227,F-Pb-V,54,-293.7228823870206,-293.12612149341015,-919.428466796875,-293.471923828125
mp-1208828,F-Pb-V,56,-312.14094733971024,-312.0277111131931,-851.489501953125,-312.51995849609375
mp-1216236,Pt-V,2,-15.825035045300982,-15.797782075463676,-66.19087219238281,-15.755571365356445
mp-12108,Pt-V,3,-22.830197908734693,-22.84892069389099,-118.61587524414062,-22.83614158630371
mp-1017531,Pt-V,4,-32.50428881434287,-32.477383537095164,-133.31027221679688,-32.54551696777344
mp-1216270,Pt-V,4,-28.51849140839397,-28.425728386514123,-169.7653350830078,-28.440298080444336
mp-636331,Pt-V,4,-34.49505775453842,-34.46664945496747,-94.6729507446289,-34.47407913208008
mp-372,Pt-V,4,-29.036050976240944,-29.03333631441359,-170.58384704589844,-29.095783233642578
mp-2705,Pt-V,4,-29.092217007613208,-29.14380607006695,-170.45339965820312,-29.20107078552246
mp-2678,Pt-V,4,-32.55768022211135,-32.430792295879,-133.4696502685547,-32.433143615722656
mp-2211,Pt-V,8,-70.23509330122553,-70.08144672133672,-190.6019287109375,-70.1287841796875
mp-1079997,Pt-V,9,-60.028254133079926,-59.894925328901266,-428.17193603515625,-59.75779724121094
mp-998323,Br-Cs-In,5,-14.624995035406819,-14.62223735768291,-94.3371353149414,-14.628219604492188
mp-2649045,Br-Cs-In,5,-14.622966344523542,-14.617478190950282,-94.34249877929688,-14.626923561096191
mp-1112651,Br-Cs-In,10,-29.371011889340952,-29.359720635137524,-193.32452392578125,-29.28274154663086
mp-1112338,Br-Cs-In,10,-29.388879076884365,-29.380151217435433,-188.9127960205078,-29.39080810546875
mp-2646972,Zn,1,-1.248147252245427,-1.2589767372509666,-8.876832008361816,-1.248723030090332
mp-2647117,Zn,1,-1.1828117056189469,-1.22472859788073,-8.833611488342285,-1.2168660163879395
mp-79,Zn,2,-2.5299702649821323,-2.519884687245818,-17.7457218170166,-2.509115695953369
mp-1187812,Zn,3,-3.7839348629795726,-3.7755228559279805,-26.617835998535156,-3.76316499710083
mp-1245093,Zn,100,-120.36945471796533,-121.00091955846912,-881.5098876953125,-120.98030853271484
mp-1245266,Zn,100,-120.59390626740804,-121.24472805304862,-881.2006225585938,-120.87415313720703
mp-1244987,Zn,100,-121.13209991807764,-121.57838248898993,-881.431884765625,-120.22081756591797
mp-1245184,Zn,100,-121.2980199341627,-121.73383365920256,-881.9075317382812,-121.40432739257812
mp-757,As-Li,8,-26.425624984120994,-26.310600977516273,-50.34721755981445,-26.29236602783203
mp-1206724,As-Li,8,-31.405458382082323,-31.43769623035425,-92.4776382446289,-31.345603942871094
mp-7943,As-Li,16,-59.88036909909615,-60.01150445650881,-145.83839416503906,-60.021095275878906
mp-1191653,As-Li,24,-78.26695791773764,-78.34902457340823,-149.76681518554688,-78.16584777832031
mp-676620,As-Li,37,-123.22135169767559,-123.71756861191587,-240.745849609375,-123.3692626953125
mp-680395,As-Li,160,-658.1825185815422,-655.7661099743952,-1811.908935546875,-658.24072265625
mp-1110726,Cl-Rb-Sm,10,-39.37782108569276,-39.36610774670824,-136.85752868652344,-39.381431579589844
mp-1209521,Cl-Rb-Sm,32,-133.04243400573225,-132.95394709820314,-454.2015075683594,-132.92178344726562
mp-1209270,Cl-Rb-Sm,32,-140.1087279971799,-140.83263108462646,-552.5226440429688,-139.7574920654297
mp-1209546,Cl-Rb-Sm,40,-159.98703875930084,-159.7656950116604,-551.3170166015625,-160.04498291015625
mp-1209170,Cl-Rb-Sm,40,-183.66939945150878,-183.18771641986768,-613.318603515625,-183.40945434570312
mp-8361,Cs-Te,8,-22.90557215136598,-22.97969752170739,-210.2126007080078,-22.93274688720703
mp-505634,Cs-Te,10,-29.873788298407636,-29.938136978292423,-261.65667724609375,-29.773983001708984
mp-573763,Cs-Te,12,-31.621643772067976,-31.63055362319207,-316.35540771484375,-31.89942741394043
mp-1104010,Cs-Te,14,-42.692093874589084,-42.812337769417155,-362.6051025390625,-42.79017639160156
mp-1188281,Cs-Te,16,-43.20100899965674,-43.283008659453486,-421.3965759277344,-43.30088806152344
mp-1178386,Cs-Te,20,-61.27939392286654,-61.64214499619887,-514.6564331054688,-61.54007339477539
mp-1191593,Cs-Te,25,-77.19792586371804,-76.93209847731882,-640.4260864257812,-77.07234191894531
mp-505464,Cs-Te,60,-185.1336481446785,-184.79111121454832,-1538.2020263671875,-185.01641845703125
mp-1205022,Cs-Te,128,-394.9955796895354,-393.8929427823212,-3279.932373046875,-394.637939453125
mp-1184047,Cs-Np,4,-33.28919811508674,-33.32769583721196,-269.9222106933594,-33.290504455566406
mp-1183992,Cs-Np,4,-33.21263984950603,-33.5637854896412,-269.6648254394531,-33.325477600097656
mp-27501,Cl-Cs-Th,9,-39.73618403337344,-39.62605915320695,-181.77662658691406,-39.6897087097168
mp-1186775,Sr-Yb,2,-3.1415251372865876,-3.1341077183150503,-50.463836669921875,-3.1279027462005615
mp-1186771,Sr-Yb,4,-6.173713438890213,-6.1307806685890744,-121.39861297607422,-6.071762561798096
mp-981378,Sr-Yb,4,-6.493806750817301,-6.491201860434931,-80.29090118408203,-6.317559719085693
mp-1186774,Sr-Yb,4,-6.261681151375661,-6.2270246432711716,-121.51095581054688,-6.158805847167969
mp-1187163,Sr-Yb,8,-12.916576956957432,-12.86186640171073,-161.02587890625,-12.906837463378906
mp-1186780,Sr-Yb,8,-12.337049046820862,-12.287650780035019,-243.07333374023438,-12.337085723876953
mp-569446,Ni-Pb,4,-18.636332977914662,-18.659531420905267,-136.03958129882812,-18.671611785888672
mp-976830,Ni-Pb,4,-20.453623928609844,-20.44904224568771,-91.20519256591797,-20.43539810180664
mp-1181390,F-Ga,8,,,,-21.792150497436523
mp-588,F-Ga,8,-38.111237479942794,-38.18539933508786,-64.64118957519531,-38.16926956176758
mp-1009018,Ag-In,2,-5.512755099812248,-5.535121028969,-43.85053634643555,-5.529934406280518
mp-1223839,Ag-In,4,-10.963043187940855,-10.97390320874114,-86.1793441772461,-10.954545974731445
mp-1184493,Ag-In,4,-10.82063206863315,-10.81233852901982,-88.80657958984375,-10.789134979248047
mp-1223787,Ag-In,4,-11.096744926307315,-11.091310918777527,-86.32939147949219,-11.08509635925293
mp-30343,Ag-In,4,-11.39396599237475,-11.370349627683797,-86.67757415771484,-11.397566795349121
mp-1223819,Ag-In,5,-13.884110009016599,-13.907769498141342,-107.60173797607422,-13.890625953674316
mp-19974,Ag-In,6,-16.77015728681073,-16.669248407164783,-132.99990844726562,-16.783916473388672
mp-760385,Ag-In,6,-16.123655953189076,-16.12559653341357,-132.32406616210938,-16.15580177307129
mp-1184517,Ag-In,8,-21.627251386734333,-21.66934157961665,-177.65106201171875,-21.645896911621094
mp-21975,Ag-In,52,-147.52435860412123,-147.5158640592964,-1129.8162841796875,-147.50177001953125
mp-1224231,Ag-In,52,-147.16354665515976,-147.25129226172868,-1132.3311767578125,-147.1811981201172
mp-570099,Br-Rb-V,10,-42.168157688887355,-42.18864284489839,-150.9436798095703,-42.1733512878418
mp-650503,Br-Rb-V,28,-108.00452091895718,-107.8111015511591,-422.4496765136719,-108.1312255859375
mp-568136,Br-Rb-V,30,-126.50233124144017,-126.57326055134078,-452.8347473144531,-126.52159118652344
mp-29314,Br-Rb-V,30,-126.52174593075466,-126.5806134122691,-452.8345031738281,-126.53546142578125
mp-998391,Br-Rb-Tl,5,-13.558287453173687,-13.583626445991104,-112.94551849365234,-13.614423751831055
mp-998606,Br-Rb-Tl,10,-27.336834952596394,-27.381281217853783,-226.0348358154297,-27.442508697509766
mp-1114101,Br-Rb-Tl,10,-27.191002978201986,-27.251113055820475,-225.88101196289062,-27.2388916015625
mp-1114103,Br-Rb-Tl,10,-27.25011973608114,-27.262426223569328,-188.2838134765625,-27.225439071655273
mp-1209127,Br-Rb-Tm,20,-71.98553957098756,-71.94288084388816,-397.39105224609375,-72.12814331054688
mp-1209342,Br-Rb-Tm,20,-72.45774555463221,-73.05286234363005,-376.7503967285156,-73.0062255859375
mp-1186815,I-Pu,4,-43.95580448167044,-44.0536818160269,-284.386962890625,-43.67560577392578
mp-867500,I-Pu,6,-40.84079692967232,-40.871497600359916,-278.5552062988281,-40.89838409423828
mp-27978,I-Pu,8,-46.39050371191313,-46.35985561730263,-331.04937744140625,-46.447784423828125
mp-1186821,I-Pu,8,-88.0447123269665,-88.58127247697635,-568.68505859375,-87.97642517089844
mp-1208011,Cl-Sb-Tl,16,-47.84813066124384,-47.91433911636159,-246.0843048095703,-47.78003692626953
mp-1112177,Br-Cs-Tl,10,-27.573129130568773,-27.61172135767449,-248.67962646484375,-27.58430290222168
mp-1112647,Br-Cs-Tl,10,-27.499240817057323,-27.530946753978075,-222.02078247070312,-27.417984008789062
mp-1213694,Br-Cs-Tl,14,-37.483423335494685,-37.42893246002825,-318.3750305175781,-37.425506591796875
mp-573702,Br-Cs-Tl,24,-62.87373324714186,-62.949844998406796,-551.24462890625,-62.810237884521484
mp-1226204,Br-Cs-Tl,28,-75.25554960151129,-75.2346702009803,-636.5224609375,-75.06107330322266
mp-1199662,Br-Cs-Tl,64,-175.1532938927366,-175.7803764418159,-1442.15625,-175.47610473632812
mp-568861,Au-Cs-N,28,-195.3386011314824,-195.63024775584145,-355.98077392578125,-195.24082946777344
mp-862845,Cl-Ir,6,-25.053968747258992,-24.948587958968545,-130.08384704589844,-24.865306854248047
mp-865956,Cl-Ir,8,-28.906065674542813,-29.06665888780973,-143.9678192138672,-31.82086944580078
mp-27666,Cl-Ir,8,-32.66844865306277,-32.68149928722044,-145.98635864257812,-32.60833740234375
mp-568208,Cl-Ir,16,-65.26423929658007,-65.24116527496246,-291.9686279296875,-65.25248718261719
mp-729507,Cl-Ir,16,-65.27368328510039,-65.24092613759424,-291.9795837402344,-65.25424194335938
mp-1217014,Au-Ti,2,-11.466248774321855,-11.462892121478589,-63.82253646850586,-11.456229209899902
mp-11259,Au-Ti,2,-11.81384132088493,-11.843602175169632,-64.28963470458984,-11.865775108337402
mp-1018123,Au-Ti,3,-15.724961552956005,-15.680778998309867,-115.52999877929688,-15.722541809082031
mp-1172831,Au-Ti,3,-13.765242672856056,-15.68061136766252,-108.31262969970703,-9.452022552490234
mp-998985,Au-Ti,4,-23.785960298908677,-23.854701852344018,-128.70651245117188,-23.878644943237305
mp-998972,Au-Ti,4,-24.058880127095932,-24.03539316841864,-128.82350158691406,-24.059158325195312
mp-11260,Au-Ti,4,-27.867788698765736,-27.89834824576176,-90.39385986328125,-27.98151397705078
mp-1187512,Au-Ti,4,-18.799180619170066,-18.88531437273635,-166.1324005126953,-18.93764877319336
mp-12635,Au-Ti,5,-22.2810199874389,-22.37695409766027,-216.8118896484375,-22.356449127197266
mp-1786,Au-Ti,8,-56.72195407666608,-56.64474323669221,-181.23655700683594,-56.6368408203125
mp-30830,Pb-V,8,-60.16671314132614,-59.88850318179952,-195.2136688232422,-59.75759506225586
mp-135,Li,1,-1.9079691945564359,-1.9004165208762982,-2.3753092288970947,-1.9149352312088013
mp-51,Li,1,-1.90218206590348,-1.908795539380594,-2.3741822242736816,-1.9096310138702393
mp-10173,Li,2,-3.810624706998688,-3.8099532944133285,-4.74383020401001,-3.816948890686035
mp-1063005,Li,3,-5.6808894202519795,-5.672069880773047,-7.08996057510376,-5.7040534019470215
mp-1018134,Li,3,-5.713877635219361,-5.719013131369332,-7.12153434753418,-5.728062629699707
mp-604313,Li,4,-6.558437236756832,-6.507868522152005,-8.407686233520508,-6.464944839477539
mp-976411,Li,4,-7.613093464635553,-7.6256633303120935,-9.491518020629883,-7.635181903839111
mp-567337,Li,8,-15.261600765812972,-15.204770485169403,-18.99894905090332,-15.317354202270508
mp-1103107,Li,12,-22.254547814889413,-22.24798231452819,-27.810651779174805,-22.29547119140625
mp-1113917,F-Rb-Y,10,-53.34593050975849,-53.325319363778505,-115.8055648803711,-53.381797790527344
mp-7617,F-Rb-Y,10,-52.967632756636064,-52.99219703848163,-115.28657531738281,-52.970054626464844
mp-567942,Cl-Cs-Re,9,-37.28252585737009,-37.22975159259361,-153.06900024414062,-37.321632385253906
mp-567702,Cl-Cs-Re,36,-164.91780852665192,-164.93541220278968,-657.7901611328125,-165.02218627929688
mp-1184332,Eu-Ti,4,-37.135833397168525,-37.13647177661521,-130.68687438964844,-37.113670349121094
mp-1184338,Eu-Ti,4,-37.17325732327507,-37.20075149297533,-130.693603515625,-37.13547134399414
mp-20724,Mg-Pb,3,-7.050979793492205,-7.033755740144425,-64.9619369506836,-7.054132461547852
mp-976824,Mg-Pb,4,-12.723858417868122,-12.70964448955381,-172.92413330078125,-12.706048011779785
mp-976828,Mg-Pb,4,-12.6980294932189,-12.721074544358174,-172.96792602539062,-12.683992385864258
mp-1185937,Mg-Pb,4,-10.784409573302133,-10.79249680930473,-120.99954223632812,-10.769207000732422
mp-1185919,Mg-Pb,4,-10.78732771663201,-10.743386714920037,-121.04093170166016,-10.75933837890625
mp-978293,Mg-Pb,4,-8.634668108614603,-8.65802829197464,-68.85877227783203,-8.647494316101074
mp-1185955,Mg-Pb,6,-18.009585403810064,-18.054365318745532,-233.39434814453125,-18.009239196777344
mp-1185936,Mg-Pb,6,-18.09955835168649,-18.049573684044773,-233.46620178222656,-18.09212875366211
mp-1185832,Mg-Pb,6,-11.790520308259849,-11.804808958213846,-77.1202621459961,-11.828825950622559
mp-976969,Mg-Pb,6,-20.019715926823487,-19.991452074487654,-285.4380798339844,-20.064682006835938
mp-1185825,Mg-Pb,6,-11.781055536175199,-11.743868738794955,-77.01299285888672,-11.752462387084961
mp-976891,Mg-Pb,6,-20.04859301105651,-20.07194782138059,-285.47613525390625,-20.066055297851562
mp-1185999,Mg-Pb,6,-18.061398361078794,-18.087195727146934,-233.4772186279297,-18.03495979309082
mp-1185818,Mg-Pb,6,-11.812464983758623,-11.802758417011885,-77.09172058105469,-11.79893970489502
mp-1185940,Mg-Pb,6,-18.008302413227554,-18.107204406123437,-233.34178161621094,-18.024951934814453
mp-1185962,Mg-Pb,6,-20.05411773486668,-19.999364707191134,-285.489990234375,-20.053133010864258
mp-1185831,Mg-Pb,6,-11.768683241327661,-11.743437971492224,-77.00940704345703,-11.757709503173828
mp-1185787,Mg-Pb,8,-17.407191161661263,-17.353447246610898,-137.7065887451172,-17.296308517456055
mp-1185974,Mg-Pb,8,-25.419202227786133,-25.46993751008226,-345.8314514160156,-25.42855453491211
mp-1102915,Mg-Pb,12,-28.093687931934774,-27.914316149079795,-258.80810546875,-28.080204010009766
mp-1210680,Mg-Pb,12,-36.19473615799864,-36.1420791987546,-466.84295654296875,-36.21177673339844
mp-1185570,Mg-Pb,150,-242.4862211047334,-243.70103306520951,-673.247314453125,-242.8328399658203
mp-2621,Ag-Er,2,-8.092578346924205,-8.066594961086519,-58.55128479003906,-8.072636604309082
mp-30339,Ag-Er,3,-11.27121062293472,-11.227154545936859,-80.01069641113281,-11.197845458984375
mp-1184172,Ag-Er,8,-28.005217632113602,-27.904167212019644,-202.93800354003906,-28.094192504882812
mp-1225453,Ag-Er,65,-223.4822369969037,-223.5108540230505,-1613.768310546875,-223.96978759765625
mp-975045,Cr-Rb,4,-9.773402764811099,-9.74428218050946,-54.55443572998047,-9.788043022155762
mp-1186842,Cr-Rb,4,-9.844849355064223,-9.783246793016886,-54.61565017700195,-9.795690536499023
mp-1186844,Cr-Rb,8,-19.67667802417606,-19.628457232950872,-109.1866683959961,-19.892688751220703
mp-22880,Br-Fe,3,-13.022124048365534,-12.835334910378048,-43.1419677734375,-12.945188522338867
mp-23232,Br-Fe,8,-29.99012580019911,-29.887540111377824,-114.05015563964844,-29.797069549560547
mp-2647037,Re,1,-12.117271823430627,-12.307708587153938,-52.217472076416016,-12.39995288848877
mp-8642,Re,1,-12.363317994942399,-12.376958294818976,-52.402076721191406,-12.440814018249512
mp-8,Re,2,-24.876176082237272,-24.870644733495688,-104.79004669189453,-24.882476806640625
mp-975065,Re,3,-37.25363566031709,-37.24682032104024,-157.1933135986328,-37.322853088378906
mp-1186901,Re,4,-49.62306520971931,-49.619759999637836,-209.59585571289062,-49.76313781738281
mp-28376,Au-Cu-F,7,-25.404735688172902,-25.40903162626466,-87.06267547607422,-25.349018096923828
mp-1217189,Mn-Ti,12,-106.30804671583533,-106.38922129862095,-168.66915893554688,-106.41770935058594
mp-1949,Mn-Ti,12,-108.2805639882013,-108.25764360584473,-170.61083984375,-108.30007934570312
mp-1208237,Mn-Ti,16,-134.51810691792735,-135.81621443247298,-218.7323455810547,-136.26284790039062
mp-1202079,Mn-Ti,92,-809.8496954066957,-812.5492800029649,-1284.7633056640625,-812.200927734375
mp-976772,Ag-Ni,4,-13.515319618032427,-13.523406740414291,-74.93392944335938,-13.562785148620605
mp-1100764,Ag-Ni,4,-19.222031530716198,-19.217596096049,-56.061302185058594,-19.217605590820312
mp-976762,Ag-Ni,4,-13.529587642208249,-13.531469419458835,-74.94605255126953,-13.579954147338867
mp-28982,Cl-Pb-Pd,18,-63.92944079498242,-63.65024785448669,-363.6356506347656,-63.87998962402344
mp-8641,W,1,-12.463830468611803,-12.649353171489416,-50.90397644042969,-12.59404468536377
mp-91,W,1,-12.948837129633521,-12.69455616953302,-51.3763542175293,-12.760335922241211
mp-2646990,W,2,-24.911400195947188,-25.095521790617767,-101.79578399658203,-25.2307071685791
mp-1216274,W,4,-48.653689531121316,-48.81344932243822,-202.2108917236328,-49.09210968017578
mp-1065340,W,4,-51.79471782523414,-50.77681512695547,-205.5043487548828,-51.038429260253906
mp-11334,W,8,-102.53728257180768,-101.04571801003594,-410.1646423339844,-102.5633773803711
mp-1178801,W,20,-235.4739845211135,-236.38853313498936,-1002.3692626953125,-250.39511108398438
mp-1191581,W,25,-294.723557744761,-296.0889111039097,-1253.2620849609375,-313.0417785644531
mp-28651,Cl-Cs-Ir,9,-32.76143655649095,-32.962066924700274,-152.00344848632812,-33.00729751586914
mp-1183323,Ba-Mn,4,-12.992567891820329,-13.059938754357372,-96.86753845214844,-13.038347244262695
mp-1194459,Ba-Mn,29,-252.5414099837451,-251.88929316998298,-435.2743225097656,-251.20709228515625
mp-2465,Dy-Pt,4,-26.88959827132262,-26.846341162715763,-195.93212890625,-26.85851287841797
mp-916,Dy-Pt,6,-40.13784820969046,-40.00542241015956,-288.0376281738281,-40.075042724609375
mp-1078613,Dy-Pt,8,-52.92924357853303,-52.8973417516561,-367.66827392578125,-52.905189514160156
mp-1212888,Dy-Pt,10,-49.396727364132786,-49.47926709943165,-406.6126403808594,-49.35014343261719
