,chemsys,nsites,E_MACE-MPA-0,E_MACE-MP-0b3,E_MatPES-r2SCAN,E_SevenNet
mp-13819,Ag-F-K,5,-18.887459897558713,-18.863296199130616,-46.98505783081055,-18.82097053527832
mp-7387,Ag-F-K,12,-43.89681433728283,-43.65269259983168,-102.14921569824219,-43.789669036865234
mp-1211955,Ag-F-K,14,-54.44174286609546,-54.65932437544023,-124.26277160644531,-54.46479034423828
mp-1205357,Ag-F-K,20,-75.62858864063097,-75.50684725619887,-188.07566833496094,-75.48519134521484
mp-571292,I-Zn,3,-2.8808268519129028,-2.9144928600675524,-56.401573181152344,-3.196601390838623
mp-570964,I-Zn,3,-5.743098427552852,-5.756794595954975,-59.778099060058594,-5.738837242126465
mp-1206190,I-Zn,7,-7.807087556241198,-7.980799023916431,-154.8629150390625,-9.200636863708496
mp-27161,I-Zn,48,-98.49117717214986,-98.09713662631928,-960.8834228515625,-98.49182891845703
mp-12675,Au-Mn,2,-12.433467449385882,-12.420372878745798,-65.99909210205078,-12.443523406982422
mp-12674,Au-Mn,2,-12.433698579123448,-12.422044479409223,-66.00003814697266,-12.444032669067383
mp-30409,Au-Mn,3,-21.069519870661587,-21.048291622447955,-80.52445220947266,-21.125526428222656
mp-11252,Au-Mn,3,-16.035601419291645,-15.954012969380546,-116.79254913330078,-15.982819557189941
mp-1206376,Au-Mn,4,-19.040586171996523,-18.83357459960486,-167.3798370361328,-19.13935089111328
mp-1221687,Au-Mn,4,-18.84166215086494,-18.643299967468444,-166.94178771972656,-18.665620803833008
mp-12565,Au-Mn,5,-22.599640882171087,-22.610456664045067,-218.0562286376953,-22.507259368896484
mp-1221711,Au-Mn,5,-22.092796375648255,-21.8913533932732,-217.52157592773438,-21.917556762695312
mp-30410,Au-Mn,7,-35.21590051159705,-35.16967401907486,-284.1410827636719,-35.09711837768555
mp-1186010,Au-Mn,8,-38.42834756251107,-38.194639253890266,-334.9814758300781,-38.451168060302734
mp-640079,Au-Mn,12,-89.86847752219575,-88.94074064707927,-285.5899963378906,-88.8257827758789
mp-30411,Au-Mn,40,-186.36733131676976,-186.20671868316794,-1709.290771484375,-185.9542236328125
mp-1186083,Na-Sm,4,-7.277600090982004,-7.273497574578095,-46.44465637207031,-7.360131740570068
mp-1219920,Au-Pd,2,-8.570839136467097,-8.578491472291526,-73.62349700927734,-8.538841247558594
mp-999298,Au-Pd,4,-19.045284446171365,-19.03930754581071,-119.60014343261719,-19.036100387573242
mp-973834,Au-Pd,4,-15.314424400741661,-15.306090082600885,-174.9290771484375,-15.288274765014648
mp-973839,Au-Pd,4,-15.32508044746895,-15.309343903484352,-174.9300994873047,-15.302355766296387
mp-1186447,Au-Pd,8,-30.573058240363203,-30.546336449604794,-349.8923645019531,-30.61963653564453
mp-561947,Cs-F-Hg,5,-16.788684376968625,-16.758683741134206,-94.5649185180664,-16.78976821899414
mp-8963,Cs-F-Hg,7,-24.97377761682669,-24.96547141297236,-128.52711486816406,-24.910261154174805
mp-1009223,As-Na,2,-6.447163284568102,-6.4296604596195746,-18.96295166015625,-6.458887100219727
mp-8860,As-Na,4,-10.085060668279485,-10.033693538025059,-27.470211029052734,-10.083856582641602
mp-1077399,As-Na,6,-21.94633567058182,-21.740414866328507,-66.62556457519531,-21.658212661743164
mp-1136,As-Na,8,-20.50948712415618,-20.43098934896623,-55.2044677734375,-20.515708923339844
mp-1080834,As-Na,9,-28.74436122398858,-28.888847749806896,-81.50325012207031,-28.73187255859375
mp-1106381,As-Na,16,-53.82778761666346,-53.90178399177059,-154.4540557861328,-53.92249298095703
mp-1188662,As-Na,16,-53.65268668385717,-53.950207625069204,-154.3346405029297,-53.77976989746094
mp-655,As-Na,24,-61.523167939213856,-61.33230905079195,-165.6133270263672,-61.58283615112305
mp-30233,As-Na,80,-313.82656283556696,-313.9332275028803,-936.9037475585938,-314.45172119140625
mp-1018087,Au-Ce,4,-20.896180386051157,-20.914911896808643,-166.1148223876953,-20.90164566040039
mp-865572,Au-Ce,8,-36.0533225116449,-36.16086322612375,-370.8882141113281,-36.07689666748047
mp-1183852,Au-Ce,8,-44.09726700649031,-43.98063108713241,-288.2484130859375,-43.88896942138672
mp-1025468,Au-Ce,8,-41.77152873363426,-41.87047125279323,-332.25189208984375,-41.76830291748047
